frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,138.6,,,,,,,,,,,,,,,,,,,24,1088,30,98.77856087411558,2.7236735535142165,,,,
1,138.6,,,,,,,,,,,,,,,,,,,42,184,1015,16.705197794887194,92.150955227231,,,,
2,245.6,,,,,,,,,,,,,,,,,,,21,173,1027,,,,,,
3,268.1,,,,,,,,,,,,,,,,,,,16,174,1030,15.797306610382456,93.51279200398811,,,,
4,289.4,,,,,,,,,,,,,,,,,,,42,539,1024,48.935334844805425,92.96805729328526,,,,
31,1039.0,13,270,996,24.51306198162795,90.425961976672,0.45349119226012247,0.0,9.087999844892236,0.0,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
32,1074.8,13,271,996,24.603851100078423,90.425961976672,-0.001815784184792043,0.0,-18.15784184793653,0.0,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
33,1106.7,13,271,996,24.603851100078423,90.425961976672,0.4539446816311398,0.0,-9.106212269431087,0.0,11,493,972,44.759035396083625,88.24702313386062,0.0,0.4539446816311398,0.0,-9.106212269431087,,,,,,,,,
34,1139.0,13,271,996,24.603851100078423,90.425961976672,0.47077458146923407,0.0,-8.742332060710005,0.0,11,493,972,44.759035396083625,88.24702313386062,0.0,-0.4058649981759519,0.0,-8.117299963519038,,,,,,,,,
35,1174.7,13,270,996,24.51306198162795,90.425961976672,-0.013443786752797152,0.0,17.92504900373223,0.0,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
36,1206.4,13,271,996,24.603851100078423,90.425961976672,0.0,0.0,0.0,0.0,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
37,1246.7,13,271,996,24.603851100078423,90.425961976672,0.0,0.0,0.0,0.0,11,493,971,44.759035396083625,88.15623401541015,0.513317937124828,0.11978741735136317,9.532366520423915,17.878719007666014,,,,,,,,,
38,1276.1,13,271,996,24.603851100078423,90.425961976672,0.03723598553913569,0.0,-16.925447972333156,0.0,11,493,972,44.759035396083625,88.24702313386062,0.0,-0.41994879110427147,0.0,-8.28301363124797,,,,,,,,,
39,1307.3,13,271,996,24.603851100078423,90.425961976672,-0.43810352561644816,0.0,-8.683915274855277,0.0,11,493,972,44.759035396083625,88.24702313386062,0.0,0.0,0.0,0.0,,,,,,,,,
40,1341.0,13,271,996,24.603851100078423,90.425961976672,0.0,0.0,0.0,0.0,11,494,972,44.8498245145341,88.24702313386062,0.036349442537576195,0.49064671772831997,-19.648347317608476,-10.013198320986122,,,,,,,,,
