frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
95,3176.6,11,582,98,,,,,,,,,,,,,,,
96,3212.6,11,581,98,,,,,,,,,,,,,,,
97,3244.7,11,582,98,,,,,,,,,,,,,,,
98,3277.0,11,582,98,,,,,,,,,,,,,,,
99,3312.7,11,582,98,,,,,,,,,,,,,,,
100,3344.6,11,582,98,,,,,,,,,,,,,,,
101,3376.6,11,582,98,,,,,,,,,,,,,,,
102,3413.0,11,582,98,,,,,,,,,,,,,,,
103,3444.6,11,582,98,,,,,,,,,,,,,,,
104,3476.8,11,581,98,,,,,,,,,,,,,,,
105,3512.7,11,580,99,,,,,,,,,,,,,,,
106,3544.8,11,579,99,,,,,,,,,,,,,,,
107,3576.9,11,579,99,,,,,,,,,,,,,,,
108,3613.2,11,579,99,,,,,,,,,,,,,,,
109,3644.8,11,579,99,,,,,,,,,,,,,,,
110,3676.9,11,579,99,,,,,,,,,,,,,,,
111,3712.7,11,579,99,,,,,,,,,,,,,,,
112,3744.5,11,579,99,,,,,,,,,,,,,,,
113,3776.7,11,578,99,,,,,,,,,,,,,,,
114,3812.5,11,578,99,,,,,,,,,,,,,,,
115,3844.9,11,577,99,,,,,,,,,,,,,,,
116,3876.8,11,575,99,,,,,,,,,,,,,,,
117,3912.5,11,573,99,,,,,,,,,,,,,,,
118,3944.5,11,571,98,,,,,,,,,,,,,,,
119,3976.7,11,569,97,,,,,,,,,,,,,,,
120,4012.5,11,568,97,,,,,,,,,,,,,,,
121,4044.8,11,567,97,,,,,,,,,,,,,,,
122,4076.7,11,566,98,,,,,,,,,,,,,,,
123,4112.8,11,566,99,,,,,,,,,,,,,,,
124,4144.7,11,564,100,,,,,,,,,,,,,,,
