frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
76,2609.4,6,845,518,,,,,,,8,733,592,,,,,,,,,,,,,,,
77,2645.3,6,845,518,,,,,,,9,733,593,,,,,,,,,,,,,,,
78,2677.8,6,845,518,,,,,,,8,733,592,,,,,,,,,,,,,,,
79,2710.2,6,845,519,,,,,,,8,734,592,,,,,,,,,,,,,,,
80,2745.4,6,844,517,,,,,,,8,733,591,,,,,,,,,,,,,,,
81,2777.4,6,841,513,,,,,,,9,731,588,,,,,,,,,,,,,,,
82,2809.5,6,839,509,,,,,,,8,729,585,,,,,,,,,,,,,,,
83,2845.4,6,839,506,,,,,,,8,730,582,,,,,,,,,,,,,,,
84,2877.3,6,837,500,,,,,,,8,728,577,,,,,,,,,,,,,,,
85,2910.2,6,835,492,,,,,,,9,727,571,,,,,,,,,,,,,,,
86,2945.4,6,832,483,,,,,,,8,726,564,,,,,,,,,,,,,,,
87,2977.9,6,829,474,,,,,,,8,725,556,,,,,,,,,,,,,,,
88,3009.6,6,826,466,,,,,,,8,723,549,,,,,,,,,,,,,,,
89,3045.7,6,824,459,,,,,,,9,721,544,,,,,,,,,,,,,,,
90,3077.6,6,821,451,,,,,,,8,720,537,,,,,,,,,,,,,,,
91,3109.3,6,818,444,,,,,,,9,719,532,,,,,,,,,,,,,,,
92,3145.1,6,815,437,,,,,,,8,716,527,,,,,,,,,,,,,,,
93,3177.4,6,813,431,,,,,,,9,714,522,,,,,,,,,,,,,,,
94,3209.5,6,810,425,,,,,,,8,713,517,,,,,,,,,,,,,,,
95,3245.6,6,807,420,,,,,,,8,711,513,,,,,,,,,,,,,,,
96,3277.5,6,804,415,,,,,,,9,708,508,,,,,,,,,,,,,,,
97,3309.4,6,801,409,,,,,,,9,707,504,,,,,,,,,,,,,,,
98,3345.4,6,798,405,,,,,,,8,705,500,,,,,,,,,,,,,,,
99,3377.4,6,796,400,,,,,,,9,703,496,,,,,,,,,,,,,,,
100,3409.9,6,793,395,,,,,,,9,701,493,,,,,,,,,,,,,,,
101,3445.4,6,791,391,,,,,,,8,699,489,,,,,,,,,,,,,,,
102,3477.4,6,788,387,,,,,,,8,697,486,,,,,,,,,,,,,,,
103,3509.5,7,785,383,,,,,,,9,695,482,,,,,,,,,,,,,,,
104,3545.6,6,782,379,,,,,,,9,693,480,,,,,,,,,,,,,,,
105,3577.4,6,780,376,,,,,,,8,691,477,,,,,,,,,,,,,,,
106,3610.2,6,777,372,,,,,,,8,690,474,,,,,,,,,,,,,,,
107,3645.3,7,774,369,,,,,,,8,687,471,,,,,,,,,,,,,,,
108,3677.6,6,771,366,,,,,,,8,685,468,,,,,,,,,,,,,,,
109,3709.5,6,768,362,,,,,,,8,683,466,,,,,,,,,,,,,,,
110,3745.4,6,766,359,,,,,,,9,681,463,,,,,,,,,,,,,,,
111,3777.9,6,764,356,,,,,,,9,679,461,,,,,,,,,,,,,,,
112,3809.5,7,761,354,,,,,,,8,678,459,,,,,,,,,,,,,,,
113,3846.6,6,759,351,,,,,,,8,676,457,,,,,,,,,,,,,,,
114,3878.6,6,756,349,,,,,,,8,674,455,,,,,,,,,,,,,,,
115,3909.7,6,754,347,,,,,,,8,672,454,,,,,,,,,,,,,,,
116,3945.5,7,751,345,,,,,,,8,671,452,,,,,,,,,,,,,,,
117,3977.5,7,749,342,,,,,,,8,669,451,,,,,,,,,,,,,,,
118,4009.9,6,747,341,,,,,,,8,667,448,,,,,,,,,,,,,,,
119,4045.4,7,745,339,,,,,,,8,666,448,,,,,,,,,,,,,,,
120,4079.3,6,743,338,,,,,,,8,664,446,,,,,,,,,,,,,,,
121,4111.3,6,742,337,,,,,,,8,663,445,,,,,,,,,,,,,,,
122,4146.1,7,741,335,,,,,,,8,662,444,,,,,,,,,,,,,,,
123,4177.2,6,739,334,,,,,,,8,661,444,,,,,,,,,,,,,,,
124,4209.5,7,738,333,,,,,,,8,660,443,,,,,,,,,,,,,,,
125,4245.3,7,737,333,,,,,,,8,659,442,,,,,,,,,,,,,,,
126,4277.6,6,736,332,,,,,,,9,659,442,,,,,,,,,,,,,,,
127,4309.5,6,735,331,,,,,,,8,658,441,,,,,,,,,,,,,,,
128,4345.2,6,734,331,,,,,,,8,657,441,,,,,,,,,,,,,,,
129,4377.4,6,734,331,,,,,,,8,657,441,,,,,,,,,,,,,,,
130,4409.5,7,733,330,,,,,,,8,657,441,,,,,,,,,,,,,,,
131,4445.3,6,733,330,,,,,,,8,657,441,,,,,,,,,,,,,,,
132,4477.3,6,733,330,,,,,,,8,657,441,,,,,,,,,,,,,,,
133,4509.7,6,733,330,,,,,,,8,656,441,,,,,,,,,,,,,,,
134,4545.1,7,733,330,,,,,,,8,657,441,,,,,,,,,,,,,,,
135,4577.5,6,733,330,,,,,,,8,657,441,,,,,,,,,,,,,,,
136,4609.7,7,733,330,,,,,,,8,657,441,,,,,,,,,,,,,,,
137,4677.1,6,733,330,,,,,,,8,657,441,,,,,,,,,,,,,,,
138,4709.4,7,733,330,,,,,,,8,657,441,,,,,,,,,,,,,,,
139,4745.4,6,733,330,,,,,,,8,657,441,,,,,,,,,,,,,,,
140,4777.6,6,733,330,,,,,,,8,657,441,,,,,,,,,,,,,,,
141,4809.8,7,733,330,,,,,,,8,657,441,,,,,,,,,,,,,,,
142,4845.3,6,733,330,,,,,,,8,657,441,,,,,,,,,,,,,,,
