frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
468,15942,10,412,118,,,,,,,,,,,,,,,
469,15973.5,10,412,127,,,,,,,,,,,,,,,
470,16009,10,413,137,,,,,,,,,,,,,,,
471,16044.6,9,413,147,,,,,,,,,,,,,,,
472,16076.1,9,414,158,,,,,,,,,,,,,,,
473,16112.2,9,415,171,,,,,,,,,,,,,,,
474,16141.2,9,417,185,,,,,,,,,,,,,,,
475,16173,9,418,198,,,,,,,,,,,,,,,
476,16208.8,9,419,212,,,,,,,,,,,,,,,
477,16242.4,10,420,228,,,,,,,,,,,,,,,
478,16273.5,9,421,243,,,,,,,,,,,,,,,
479,16309,10,424,261,,,,,,,,,,,,,,,
480,16341.2,9,425,278,,,,,,,,,,,,,,,
481,16372.9,10,426,296,,,,,,,,,,,,,,,
482,16410.5,8,429,314,,,,,,,,,,,,,,,
483,16472.6,8,432,353,,,,,,,,,,,,,,,
484,16509,8,434,374,,,,,,,,,,,,,,,
485,16541.3,7,436,393,,,,,,,,,,,,,,,
486,16577.1,8,438,416,,,,,,,,,,,,,,,
487,16608.8,9,440,440,,,,,,,,,,,,,,,
488,16641,8,441,462,,,,,,,,,,,,,,,
489,16674.1,7,443,486,,,,,,,,,,,,,,,
558,18973.2,6,527,935,,,,,,,,,,,,,,,
564,19173.1,7,531,889,,,,,,,,,,,,,,,
565,19208.7,9,533,879,,,,,,,,,,,,,,,
566,19240.9,9,534,874,,,,,,,,,,,,,,,
567,19273.2,9,535,869,,,,,,,,,,,,,,,
568,19308.8,9,536,864,,,,,,,,,,,,,,,
569,19340.9,9,537,861,,,,,,,,,,,,,,,
570,19373.1,9,538,858,,,,,,,,,,,,,,,
571,19408.6,9,539,855,,,,,,,,,,,,,,,
572,19441,9,540,853,,,,,,,,,,,,,,,
573,19473,9,541,852,,,,,,,,,,,,,,,
574,19508.7,8,542,851,,,,,,,,,,,,,,,
575,19540.8,7,544,850,,,,,,,,,,,,,,,
576,19572.8,7,544,849,,,,,,,,,,,,,,,
577,19609,6,543,847,,,,,,,,,,,,,,,
578,19640.8,7,542,848,,,,,,,,,,,,,,,
579,19674.6,7,535,852,,,,,,,,,,,,,,,
580,19708.8,8,531,856,,,,,,,,,,,,,,,
581,19741.1,8,528,860,,,,,,,,,,,,,,,
582,19776.1,8,523,867,,,,,,,,,,,,,,,
583,19809,9,510,876,,,,,,,,,,,,,,,
584,19841.5,9,489,882,,,,,,,,,,,,,,,
585,19873,9,459,890,,,,,,,,,,,,,,,
586,19908.8,10,416,895,,,,,,,,,,,,,,,
587,19941,9,362,900,,,,,,,,,,,,,,,
588,19973.2,7,299,909,,,,,,,,,,,,,,,
589,20008.7,6,232,919,,,,,,,,,,,,,,,
590,20043.4,6,164,924,,,,,,,,,,,,,,,
681,23140.8,5,604,1,,,,,,,,,,,,,,,
682,23173,11,606,14,,,,,,,,,,,,,,,
683,23205.3,11,609,30,,,,,,,,,,,,,,,
684,23241.1,10,608,41,,,,,,,,,,,,,,,
686,23305.3,8,610,53,,,,,,,,,,,,,,,
693,23540.7,10,617,58,,,,,,,,,,,,,,,
694,23573.2,9,620,58,,,,,,,,,,,,,,,
695,23605.2,10,620,59,,,,,,,,,,,,,,,
696,23641.1,9,619,59,,,,,,,,,,,,,,,
697,23673.1,10,620,59,,,,,,,,,,,,,,,
698,23705.6,10,620,59,,,,,,,,,,,,,,,
699,23741.3,10,619,56,,,,,,,,,,,,,,,
700,23772.9,9,617,53,,,,,,,,,,,,,,,
701,23805.3,9,617,53,,,,,,,,,,,,,,,
702,23841,9,618,53,,,,,,,,,,,,,,,
703,23875.1,9,618,53,,,,,,,,,,,,,,,
704,23905,10,616,53,,,,,,,,,,,,,,,
705,23940.7,9,618,54,,,,,,,,,,,,,,,
706,23973.2,9,617,53,,,,,,,,,,,,,,,
707,24005.9,9,619,54,,,,,,,,,,,,,,,
708,24041,9,620,57,,,,,,,,,,,,,,,
709,24074,8,621,60,,,,,,,,,,,,,,,
710,24110.1,10,623,61,,,,,,,,,,,,,,,
711,24140.8,9,624,65,,,,,,,,,,,,,,,
712,24174.7,8,626,68,,,,,,,,,,,,,,,
713,24205.2,9,629,73,,,,,,,,,,,,,,,
714,24241.2,9,630,80,,,,,,,,,,,,,,,
715,24273.2,10,628,87,,,,,,,,,,,,,,,
716,24308.2,9,631,96,,,,,,,,,,,,,,,
717,24341.1,9,634,103,,,,,,,,,,,,,,,
718,24373,9,634,113,,,,,,,,,,,,,,,
719,24405,9,635,122,,,,,,,,,,,,,,,
720,24441.5,10,639,133,,,,,,,,,,,,,,,
721,24473.1,10,641,144,,,,,,,,,,,,,,,
722,24505,10,642,157,,,,,,,,,,,,,,,
723,24540.8,10,643,169,,,,,,,,,,,,,,,
724,24573,10,646,184,,,,,,,,,,,,,,,
725,24605.1,10,647,198,,,,,,,,,,,,,,,
726,24641.3,9,649,212,,,,,,,,,,,,,,,
727,24673,10,651,229,,,,,,,,,,,,,,,
728,24705.2,10,653,245,,,,,,,,,,,,,,,
729,24741,9,654,262,,,,,,,,,,,,,,,
730,24772.8,10,658,280,,,,,,,,,,,,,,,
731,24808.8,10,660,299,,,,,,,,,,,,,,,
