frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,138.4,,,,,,,,,,,,,,,,,,,20,18,46,1.63420413210853,4.176299448721799,,,,
1,138.4,,,,,,,,,,,,,,,,,,,8,570,1034,51.749797516770116,93.87594847779,,,,
2,243.5,,,,,,,,,,,,,,,,,,,47,89,995,,,,,,
3,263.5,,,,,,,,,,,,,,,,,,,39,494,1017,44.8498245145341,92.33253346413194,,,,
4,280.3,,,,,,,,,,,,,,,,,,,47,36,1007,3.26840826421706,91.42464227962721,,,,
5,301.0,12,126,902,11.43942892475971,81.89178484232745,,,,,11,485,1003,44.03272244847984,91.06148580582531,,,,,,,,,,,,,
6,301.0,12,126,901,11.43942892475971,81.80099572387698,,,,,11,484,1005,43.941933330029364,91.24306404272626,,,,,,,,,,,,,
7,309.9,12,126,901,11.43942892475971,81.80099572387698,,,,,10,484,1007,43.941933330029364,91.42464227962721,,,,,,,,,,,,,
8,321.8,13,126,902,11.43942892475971,81.89178484232745,0.0,0.0,0.0,0.0,10,483,1008,43.85114421157889,91.51543139807768,,,,,,,,,,,,,
9,330.9,12,126,901,11.43942892475971,81.80099572387698,0.0,0.2712473487402004,0.0,18.143635367237497,8,486,1007,44.12351156693031,91.42464227962721,,,,,,,,,,,,,
10,349.3,13,126,902,11.43942892475971,81.89178484232745,0.0,1.4124542477310777,0.0,-45.270969478560204,,,,,,,,,,,,,,,,,,
11,385.6,12,126,902,11.43942892475971,81.89178484232745,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
12,417.1,13,126,902,11.43942892475971,81.89178484232745,-0.41773004500918165,0.14896394491601067,-9.692112413206067,-20.980837312114282,,,,,,,,,,,,,,,,,,
13,451.1,12,126,901,11.43942892475971,81.80099572387698,-0.47058718219237305,-0.4378925064752695,-9.245327744447406,8.91838098727637,,,,,,,,,,,,,,,,,,
14,489.6,13,126,902,11.43942892475971,81.89178484232745,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
15,517.5,13,125,901,11.348639806309237,81.80099572387698,-0.009800014748447005,-0.009800014748447005,17.81820863353943,17.81820863353943,,,,,,,,,,,,,,,,,,
