frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,129.3,14,531,973,48.20902189720164,88.3378122523111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,129.3,20,16,697,,,,,,,,,,,,,,,,,,,,,,,,,5,498,937,,,,,,
2,242.3,20,5,728,0.45394559225236947,66.09447823194499,,,,,,,,,,,,,,,,,,,,,,,10,502,932,,,,,,
3,263.8,6,4,691,0.36315647380189553,62.73528084927746,61.73113997467123,-51.38460385770289,6207.620541451115,2066.4504010914825,,,,,,,,,,10,551,1021,50.02480426621111,92.69568993793384,,,,,,,,,,,,,
4,287.4,,,,,,,,,,,,,,,,,,,11,550,1023,49.93401514776064,92.87726817483478,,,,,,,,,,,,,
5,298.1,12,99,688,8.988122726596915,62.46291349392604,49.597845498530745,-22.002745577864538,-3704.1002527758683,1544.0523212536516,11,503,930,45.66692658058837,84.43388015894071,,,,,,,,,,,,,,,,,,,,,,
6,307.5,12,99,688,8.988122726596915,62.46291349392604,76.6755075840764,-2.481046128958415,-5523.66779044859,171.69869404556516,11,505,930,45.848504817489314,84.43388015894071,,,,,,,,,,,,,,,,,,,,,,
7,317.5,12,99,688,8.988122726596915,62.46291349392604,,,,,11,507,931,46.03008305439026,84.5246692773912,,,,,,,,,,,,,,,,,,,,,,
8,326.6,12,98,688,8.897333608146441,62.46291349392604,-2.0492987674744017,0.0,79.73925165270049,0.0,11,508,931,46.120872172840734,84.5246692773912,8.986411986109248,3.3093806187374852,-487.12305484334536,8.687544927130022,,,,,,,,,,,,,,,,,,
9,336.4,12,98,688,8.897333608146441,62.46291349392604,-2.2557444908278677,0.0,61.29740464206161,0.0,11,508,932,46.120872172840734,84.61545839584167,6.071632856571971,4.859289289611905,-232.03066485432552,-98.52558382006245,,,,,,,,,,,,,,,,,,
10,346.4,12,99,689,8.988122726596915,62.55370261237651,-0.2050072291671495,2.229954654065563,-14.187351499456724,-63.0821684318405,11,506,933,45.93929393593979,84.70624751429214,-2.639969112399862,4.664916537298275,34.70746543292705,-111.97698536422428,,,,,,,,,,,,,,,,,,
11,378.0,12,98,688,8.897333608146441,62.46291349392604,0.0,0.0,0.0,0.0,11,506,933,45.93929393593979,84.70624751429214,-3.258004445093149,2.025095412502836,10.686617831578914,-58.6597319401514,,,,,,,,,,,,,,,,,,
12,410.0,12,98,688,8.897333608146441,62.46291349392604,0.3861286077318908,0.0,10.492625210105725,0.0,11,506,933,45.93929393593979,84.70624751429214,-2.9644460450262238,-0.062291408414451195,-13.514957471712275,-35.21302210456677,,,,,,,,,,,,,,,,,,
