Input Size,Chaining,Probing,Double Hashing
500000,207814,312023,419580,
500000,268684,333562,340047,
500000,257757,417154,377469,
500000,217857,346158,371119,
500000,181768,291087,351819,
500000,185661,287649,321001,
500000,164325,280431,318712,
500000,167876,273470,305450,
500000,154298,274035,306865,
500000,162138,270811,304077,
500000,170355,272226,300666,
500000,157023,271948,298556,
1000000,267542,520509,593877,
1000000,268881,515736,602295,
1000000,266957,519512,593499,
1000000,268289,519795,587670,
1000000,266995,517645,589910,
1000000,273783,529911,585038,
1000000,268692,517622,584480,
1000000,268804,515729,587505,
1000000,271184,517360,586366,
1000000,271362,519627,596793,
1000000,268981,524594,587114,
1000000,266009,523781,583668,
1000000,267675,524515,584011,
1000000,273916,531509,589217,
1000000,270747,519276,587338,
1000000,275369,523736,598871,
1000000,268916,531750,585353,
1000000,267418,515474,592603,
1000000,266369,518457,586165,
1000000,270892,517113,599099,
1000000,269353,520419,589494,
1000000,269719,518406,585601,
1000000,270785,520326,585219,
1000000,268141,516594,603389,
1000000,302530,567062,681618,
1000000,297183,533814,631217,
1000000,342456,573654,637842,
1000000,377611,572594,615235,
1000000,308366,579250,630482,
1000000,327575,585695,692923,
