frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,137.3,6,1015,938,110.58114627267717,102.19223172785338,,,,,,,,,,,,,,,,,,,,,,,44,903,712,98.37908875293348,77.57022280408486,,,,
1,137.3,6,1015,938,110.58114627267717,102.19223172785338,,,,,,,,,,,,,,,,,,,,,,,44,904,713,98.48803569507405,77.67916974622544,,,,
2,251.1,9,193,1005,21.02675983312975,109.49167685127148,,,,,,,,,,,,,,,,,,,,,,,42,905,714,,,,,,
3,273.2,19,1031,941,112.32429734692627,102.51907255427508,-1380.9303498348827,80.3034681860101,-20511.509471028145,1146.4085125199806,,,,,,,,,,,,,,,,,,,42,903,713,98.37908875293348,77.67916974622544,,,,
4,298.4,19,1031,940,112.32429734692627,102.41012561213452,-1845.2169445680936,108.80353421997472,-23042.05151071247,1333.9664325574206,,,,,,,,,,,,,,,,,,,40,742,898,80.83863106830194,97.83435404223064,,,,
5,311.1,14,197,989,21.462547601692023,107.74852577702238,2.7141966100433903,-10.856786440173561,-151.6310955331505,606.524382132602,14,1063,850,115.81059949542447,92.60490081948335,,,,,15,1031,940,112.32429734692627,102.41012561213452,,,,,,,,,,,,,
6,321.6,14,197,989,21.462547601692023,107.74852577702238,-795.6213820666899,45.79115868009726,44697.83045318486,-2572.537004499849,14,1063,850,115.81059949542447,92.60490081948335,,,,,15,1030,940,112.2153504047857,102.41012561213452,,,,,,,,,,,,,
7,337.9,15,197,989,21.462547601692023,107.74852577702238,-1098.422465274582,64.53561246817083,60854.43020911809,-3575.380192142426,14,1063,850,115.81059949542447,92.60490081948335,,,,,15,1030,940,112.2153504047857,102.41012561213452,,,,,,,,,,,,,
8,346.9,14,197,989,21.462547601692023,107.74852577702238,0.0,0.0,0.0,0.0,14,1063,850,115.81059949542447,92.60490081948335,0.0,0.0,0.0,0.0,15,1031,941,112.32429734692627,102.51907255427508,0.0,1.5363373390399007,0.0,-84.1828678925973,,,,,,,,,
9,357.2,14,197,989,21.462547601692023,107.74852577702238,0.0,0.0,0.0,0.0,14,1063,849,115.81059949542447,92.49595387734277,0.0,-0.8232038287852469,0.0,125.67997386034283,15,1031,940,112.32429734692627,102.41012561213452,1.7679355706099436,0.9447317418245735,-72.60515690389914,53.07481695643677,,,,,,,,,
