frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,147.6,13,213,988,23.20569867594112,107.63957883488182,,,,,,,,,,,,,,,,,,,,,,,32,888,721,96.74488462082495,78.55074528334998,,,,
1,147.6,11,212,987,23.096751733800552,107.53063189274124,,,,,,,,,,,,,,,,,,,,,,,32,892,722,97.18067238938723,78.65969222549056,,,,
2,255.2,10,212,988,23.096751733800552,107.63957883488182,,,,,,,,,,,,,,,,,,,,,,,30,888,722,96.74488462082495,78.65969222549056,,,,
3,277.1,17,903,531,98.37908875293348,57.850826276641946,-865.9587938570802,546.4552828788062,-22338.96976866584,14377.21103633461,,,,,,,,,,,,,,,,,,,36,1064,544,115.91954643756503,59.267136524469336,-60.96041948119565,549.1845500893792,-3228.220943582225,10781.354839129439
4,298.7,12,212,988,23.096751733800552,107.63957883488182,-12.952030669274231,-23.887465479804874,-171.43654095664107,-325.72456528927665,,,,,,,,,,,,,,,,,,,36,1065,544,116.0284933797056,59.267136524469336,-102.59969976633049,710.5136124065547,-3009.0946231067833,11103.324137060774
5,314.1,13,206,975,22.44307008095714,106.22326858705442,-4.400602571223818,-9.534638904318276,227.42132151027485,492.74619660559574,,,,,,,,,,15,904,532,98.48803569507405,57.959773218782516,,,,,14,994,944,108.29326048772522,102.8459133806968,77.74397875828721,162.8222951352808,-4017.7766800148434,-8414.588895880146
6,329.5,14,205,975,22.334123138816572,106.22326858705442,-540.5187023690576,345.2117806041004,34760.347306376636,-22058.26074147606,,,,,,,,,,15,904,533,98.48803569507405,58.068720160923085,,,,,14,994,944,108.29326048772522,102.8459133806968,-52.24618385695139,311.0016041478383,3560.825356721319,-19872.30697430276
7,344.0,14,205,975,22.334123138816572,106.22326858705442,-3.054661983285578,-11.003177701526926,608.4064608678398,894.5672928070663,,,,,,,,,,15,904,533,98.48803569507405,58.068720160923085,,,,,14,994,944,108.29326048772522,102.8459133806968,-60.094278216031476,338.55931389313514,4885.713676100116,-27525.147470986572
8,352.8,13,206,975,22.44307008095714,106.22326858705442,0.0,0.0,0.0,0.0,,,,,,,,,,15,904,533,98.48803569507405,58.068720160923085,0.0,1.1890927002885265,0.0,-84.03481980837638,14,994,944,108.29326048772522,102.8459133806968,0.0,0.0,0.0,0.0
9,360.8,13,206,975,22.44307008095714,106.22326858705442,1.2708558532102388,0.0,-141.20620591224875,0.0,,,,,,,,,,15,904,533,98.48803569507405,58.068720160923085,0.0,0.0,0.0,0.0,14,995,944,108.4022074298658,102.8459133806968,1.2708558532103627,0.0,-141.20620591226253,0.0
10,368.6,13,206,975,22.44307008095714,106.22326858705442,3.3192981560551917,0.0,-90.19831945802153,0.0,,,,,,,,,,15,904,533,98.48803569507405,58.068720160923085,0.0,0.0,0.0,0.0,14,994,944,108.29326048772522,102.8459133806968,0.0,0.0,0.0,0.0
11,381.1,13,206,975,22.44307008095714,106.22326858705442,0.0,0.0,0.0,0.0,,,,,,,,,,15,904,533,98.48803569507405,58.068720160923085,0.0,0.0,0.0,0.0,14,994,944,108.29326048772522,102.8459133806968,0.0,0.0,0.0,0.0
12,410.1,14,205,975,22.334123138816572,106.22326858705442,-1.1225822907845175,0.0,44.10932380292802,0.0,,,,,,,,,,15,904,533,98.48803569507405,58.068720160923085,0.0,0.0,0.0,0.0,14,994,944,108.29326048772522,102.8459133806968,-1.4811350346300756,0.0,29.563573545510497,0.0
