frame_no,timestamp,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green
113,3783.6,47.39191983114737,57.83266845295186,24.212996235391767,-0.5099599835443982,18.5377515637176,-9.667487839704233,58.64977051900613,8.443388015894072,20.4460811328656,28.43087490420205,-3.9311396049606793,359.5205856900073
114,3809.7,48.20902189720164,57.83266845295186,24.13873930348979,-0.4498641306992707,-12.04730224634446,-9.078993555989328,59.28529434815945,9.896013911101656,19.124469337702628,42.34155887042881,-2.3086845369416165,4.021875046496616
115,3845.7,49.0261239632559,57.83266845295186,24.26543851203156,-0.4493777565016373,-13.663322759566816,-9.142985890165589,59.83002905886229,11.25785068785876,18.75664906652622,42.55610176955821,5.794588209127124,1.4416712237772231
116,3877.7,49.75243691085969,57.74187933450139,24.77276284450778,-0.4977930721510753,-6.640480381655597,9.926083193441166,60.55634200646608,12.710476583066344,19.65487682406802,44.4276396685758,-12.885105002851716,-19.52558538450728
117,3910.0,50.569538976913954,57.74187933450139,24.012046303081775,-0.4521361443062212,9.521021081678208,9.033689196927504,61.1918658356194,14.163102478273927,19.027697459079576,42.58579907508284,0.3790359103604103,0.84831846604624
118,3945.8,51.38664104296822,57.74187933450139,24.59253611751952,-0.443774412291807,20.19873945263298,9.254940819432925,61.73660054632224,15.524939255031034,19.956182315702595,44.548718433222085,18.172110076115214,38.370849528747634
119,3978.0,52.20374310902248,57.74187933450139,24.068561467852145,0.0,-7.401421445974212,0.0,62.46291349392604,17.06835426868909,19.533084973215605,43.601646441067714,10.456553639892356,3.055132193917395
120,4010.1,53.02084517507675,57.74187933450139,24.55019461005673,0.0,1.2311928438953563,0.0,63.09843732307935,18.4301910454462,19.094595807821896,44.10625335170165,0.957594434141542,29.530388359504595
121,4041.7,53.83794724113102,57.74187933450139,24.196991010354992,0.0,-28.44785534761791,0.0,63.73396115223267,19.973606059104256,20.057810271666902,44.674213786894455,-16.052653225973184,-35.753636730575224
122,4077.6,54.564260188734806,57.74187933450139,24.105701609991968,-0.4530358816466477,8.147207432717746,-9.097106057161607,64.46027409983647,21.42623195431184,19.56075819618396,44.57253156946922,-9.900866431692444,16.440553115349942
123,4109.7,55.47215137323955,57.74187933450139,23.929321184167957,-0.4423555222634224,-13.698530713147957,-8.88264100930568,65.00500881053931,22.969646967969894,19.840459593973463,45.1327346415396,14.0195900267332,-8.918314266373288
124,4145.6,56.198464320843335,57.74187933450139,22.932677213490823,-0.4491514730644143,4.110727400280665,-8.645841637428527,65.7313217581431,24.42227286317748,18.95542155373553,43.668427760027896,-5.167533837190925,16.392981737956234
125,4177.6,57.0155663868976,57.65109021605092,24.036035361308105,-0.4543990843525159,-9.540532406395071,9.069842003044243,66.36684558729641,25.96568787683553,19.4992931499945,45.349300532606925,8.671565507903239,-0.9051738525959668
126,4211.3,57.83266845295186,57.65109021605092,24.059472144298592,-0.4401015853839373,16.26055748737297,8.927009845516018,67.0931585349002,27.509102890493587,20.40271721697709,45.83687101512751,-2.951526581779888,22.7792665023556
127,4247.6,58.55898140055566,57.65109021605092,24.50530829006269,-0.4294647469006476,26.7251760619128,9.031855875933754,67.63789324560305,28.96172878570117,20.38180309324149,47.16359635516511,33.13579931770004,52.1397358137539
128,4277.8,59.37608346660992,57.65109021605092,24.048561426002827,0.0,9.79055365778669,0.0,68.36420619320684,30.505143799359228,19.963713993722724,46.28223976166726,0.5983116124205793,19.5267153508064
129,4309.9,60.28397465111466,57.65109021605092,24.203511381500928,0.0,-13.338869105986817,0.0,69.09051914081063,32.13934793146775,19.638283429977573,47.0140446622638,-12.554229746810906,1.0984951028430274
130,4342.7,61.010287598718456,57.65109021605092,24.83763941271597,0.0,-19.736088308952127,0.0,69.72604296996394,33.682762945125816,20.73421567249636,48.25922714060357,-25.724388607818437,-29.098078917045783
131,4377.7,61.82738966477272,57.65109021605092,24.253184893720192,0.0,-5.693987737519018,0.0,70.36156679911727,35.22617795878387,19.76185435784607,47.14831021630293,-4.639545563905197,-2.1879675102524594
132,4410.2,62.644491730826985,57.65109021605092,23.430384759222918,0.0,-2.077414488788992,0.0,70.99709062827058,36.8603820908924,19.371100868016104,47.30732885016651,7.2265615122851985,4.74964423719133
133,4445.6,63.461593796881246,57.65109021605092,24.17257685969224,0.0,6.809702438714533,0.0,71.72340357587437,38.49458622300093,19.696173737527065,47.44987309495144,5.548646431544624,13.367193675993834
134,4480.0,64.2786958629355,57.65109021605092,24.063691857694664,0.0,1.989334051780399,0.0,72.35892740502769,40.038001236658985,20.47006798939017,49.11980615477553,18.48536436242128,40.7313876172437
135,4511.4,65.00500881053931,57.65109021605092,24.11636564955141,0.0,15.634349080261275,0.0,72.994451234181,41.67220536876752,20.478015458086656,48.67522944193817,14.649220900176251,22.28396429584547
136,4545.6,65.91289999504404,57.65109021605092,23.616082307092125,0.0,-17.93959349071694,0.0,73.7207641817848,43.30640950087604,19.983607859834013,48.14232802596384,0.2000360145942293,0.481904944253842
137,4577.7,66.63921294264783,57.65109021605092,23.55567152259543,0.0,-12.388931494958175,0.0,74.44707712938859,45.031402751435046,19.97953856817765,47.25479257698147,-28.526908297170745,-78.90976177884161
138,4609.9,67.4563150087021,57.65109021605092,24.284941813374488,0.4525548475583933,-12.211482809742003,9.188930914891236,75.0826009585419,46.57481776509311,20.16757264567797,45.401999693840295,-20.952628258728204,-88.74548202372118
