frame_no,timestamp,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
1142,38578.4,0.2442227286,0.5864977052,0.06425829106,0.6103100043,-0.02034008277,-0.10048188350000001,0.2478542934,0.364064365,0.1237829434,-0.7302218738,0.05352160028,0.509251934
1143,38610.6,0.246038511,0.6064713112,0.06875805459,0.6197136938,0.07593769105999999,-0.059229521710000003,0.2514858581,0.339551303,0.12363081790000001,-0.7211678289,0.24808815509999999,0.455344548
1144,38643.4,0.2478542934,0.6273528085,0.06819857333,0.6089155136,0.09643623738000001,0.048810031379999994,0.256025314,0.3168540234,0.12272832080000001,-0.7088867173,0.100807285,-0.056823618619999995
1145,38678.9,0.2505779669,0.6473264146,0.07258764543,0.6073908659,0.18609837850000002,0.04238957723,0.26056477,0.2932488526,0.1223530453,-0.7071117544000001,-0.08197728476,-0.049349060060000005
1146,38710.7,0.2533016405,0.6682079118,0.07206180598,0.6036427264,-0.00992867214,-0.26186872780000003,0.2651042259,0.26964368180000003,0.12623326170000002,-0.6980361947999999,-0.19609127480000002,0.0068259621
1147,38742.9,0.2551174228,0.6881815179,0.07712921362,0.6083175087,0.08307412024,-0.06083023012,0.2687357906,0.246038511,0.12711112119999998,-0.7081905326000001,-0.01271079435,0.07081728282000001
1148,38778.7,0.2587489876,0.7081551238999999,0.07725725059,0.6134321218000001,-0.09251911666,0.07867767401,0.2723673554,0.2224333402,0.12267914669999999,-0.7088654085,0.08851238326000001,0.01420569114
1149,38812.2,0.26056477,0.72812873,0.07729613338,0.6085016378,0.11306812819999999,0.3576108239,0.2769068113,0.1988281694,0.1226870705,-0.7034279848,0.1262155849,-0.11306812819999999
1150,38843.4,0.2632884435,0.7490102272,0.08179789963999999,0.6135388318,0.009835054170000001,0.1647371573,0.2814462672,0.1752229986,0.1272411772,-0.6997173056,0.015298973149999999,0.09780414978
1151,38878.7,0.2660121171,0.7698917245,0.07717075068,0.6128265495,0.09078911845,-0.09078911845,0.2850778319,0.1516178278,0.13164422180000002,-0.6945367561000001,0.09078911845,0.2723673554
1152,38910.8,0.2687357906,0.7898653305000001,0.08699116632000001,0.6230044781,0.08358568405,-0.06343556379,0.28961728789999996,0.1289205482,0.1373350104,-0.6963915706,0.1709028719,0.2557945822
1153,38942.7,0.2714594642,0.8107468278000001,0.08652273191000001,0.6150261493,0.0853277308,-0.1347811146,0.2941567438,0.10622326859999999,0.1366013661,-0.6879143448,0.1732244686,0.1399191285
1154,38978.7,0.2741831377,0.8307204337999999,0.08962713174999999,0.601811207,0.1583385029,-0.1295177321,0.2986961997,0.08352598897,0.13912726250000002,-0.6736692616000001,0.05887169643,0.144982536
1155,39010.4,0.2778147025,0.8516019310999999,0.0882997247,0.592198729,-0.05730941134,-0.555153776,0.3041435468,0.06082870936,0.13715986,-0.6251706398,-0.1744199476,1.17434459
1156,39042.7,0.28053837600000003,0.8715755371,0.09538085424000001,0.6085916939,0.09183471579000001,0.0060920059,0.3086830027,0.03813142975,0.1362427838,-0.5221398018,-0.180396115,3.1755717320000003
1158,39116.9,0.28689361430000004,0.9115227492,0.09150117339,0.4283825807,0.1174305135,-2.521205816,0.3177619146,0.00090789118,0.1062767312,-0.1186322919,-0.4055449129,8.338112647
1159,39142.6,0.290525179,0.9324042465,0.08565509249,0.2949074416,-0.2865446607,-6.286057018,0.3213934793,0.00181578237,0.1038336228,0.004625851,-0.4684359356,7.370287183
1161,39210.5,0.2959725261,0.9405752671000001,0.08082745446,-0.01086076934,-0.34550143079999995,-6.864335852,0.32593293520000005,0.02632884435,0.08898545669,0.34219680179999995,0.03607323524,1.50866286
1162,39244.9,0.2977883085,0.9296805729000001,0.07255002807000001,-0.20673182669999998,0.03033616752,-3.521162302,0.3295645,0.0408551033,0.08161878158000001,0.4041294719,0.03412818846,0.4401452877
1164,39310.5,0.3023277644,0.9051675109999999,0.06778668222,-0.3661345498,0.08468598603000001,-0.2411397568,0.3350118471,0.06809183884,0.09043027952999999,0.4204647724,-0.00717677848,0.05669654997
1165,39343.0,0.305051438,0.8924570344,0.06896162556,-0.3811323574,-0.10349422069999999,-0.034404073369999996,0.3377355206,0.08261809779,0.08719342974,0.4270603148,0.07952416958,0.02735405833
1166,39379.7,0.3077751115,0.8797465578000001,0.0682565545,-0.37825378290000006,-0.07836086718,-0.1637870584,0.3413670854,0.09623646556000001,0.08648146624000001,0.4284591547,-0.07487408386,0.2648120172
1167,39411.3,0.3095908939,0.8670360812,0.07256583293,-0.38097062289999994,0.010138432820000001,-0.053226772320000004,0.34409075889999996,0.11076272449999999,0.09070729116000001,0.4309230616,0.01267304103,0.1508091882
1168,39442.6,0.3114066763,0.8543256046000001,0.07260579397,-0.38602443610000003,0.17667029320000002,-0.06383044048,0.3468144325,0.1252889835,0.09083676342000001,0.43595284759999997,-0.00636485874,0.1512108583
1169,39478.4,0.3141303498,0.8416151279999999,0.06844532576,-0.3881570299,0.08218601925999999,-0.03688663857,0.34953810599999996,0.1398152424,0.086714566,0.4429647506,0.07959748322,0.029121030449999998
1170,39510.7,0.3168540234,0.8289046514999999,0.07746299418000001,-0.38738818700000005,0.08839599875,-0.07589926712,0.3531696708,0.1543415014,0.09115446849,0.44208086809999997,-0.0036755093,0.07369396154
