frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,149.8,12,213,989,23.20569867594112,107.74852577702238,,,,,,,,,,,,,,,,,,,,,,,30,911,723,99.25066429005803,78.76863916763112,,,,
1,149.8,10,214,988,23.314645618081688,107.63957883488182,,,,,,,,,,,,,,,,,,,,,,,29,910,724,99.14171734791746,78.8775861097717,,,,
2,253.2,12,212,988,23.096751733800552,107.63957883488182,,,,,,,,,,,,,,,,,,,,,,,29,910,724,99.14171734791746,78.8775861097717,,,,
3,276.2,12,213,988,23.20569867594112,107.63957883488182,-20.774756340995495,-34.818129764163366,-328.7144990663845,-537.2817682524947,,,,,,,,,,,,,,,,,,,28,910,725,99.14171734791746,78.98653305191226,193.7041899867868,505.9061426892316,3078.5777214777304,7977.568016899053
4,294.9,11,213,988,23.20569867594112,107.63957883488182,-28.41718821081035,-49.52976023748315,-381.3418030340079,-682.6982803236823,,,,,,,,,,,,,,,,,,,28,909,725,99.03277040577689,78.98653305191226,300.60193336675655,774.9014317900217,4153.725344830459,10670.580170769521
5,312.8,13,205,975,22.334123138816572,106.22326858705442,-7.945597376080704,-10.32363829537509,162.75786640780223,451.00525056474976,,,,,,,,,,15,903,533,98.37908875293348,58.068720160923085,,,,,14,993,944,108.18431354558466,102.8459133806968,38.06744902047995,87.1948337074725,-3813.8913990623073,-10569.070752420908
6,312.8,13,204,973,22.225176196676003,106.00537470277328,-7.995233242637845,-15.12169881106707,1027.0490946050534,1613.5894706074826,,,,,,,,,,15,903,533,98.37908875293348,58.068720160923085,,,,,14,994,944,108.29326048772522,102.8459133806968,99.77051795801069,260.11599324767104,-8211.565264033796,-21408.72372408814
7,321.0,13,205,974,22.334123138816572,106.11432164491386,-16.100533321266283,-28.175933312215967,1325.1467754128623,2319.0068569725067,,,,,,,,,,15,904,533,98.48803569507405,58.068720160923085,,,,,14,994,944,108.29326048772522,102.8459133806968,171.06816653845422,440.7520996696646,-14079.684488761659,-36275.892976927105
8,329.3,13,204,974,22.225176196676003,106.11432164491386,-4.834225787622673,-5.4812815890591065,214.37808370832266,135.94707747355133,,,,,,,,,,15,904,533,98.48803569507405,58.068720160923085,4.8342257876223576,0.0,-214.3780837083087,0.0,14,994,944,108.29326048772522,102.8459133806968,4.187169986185694,0.0,-292.8090899430559,0.0
9,337.1,13,205,974,22.334123138816572,106.11432164491386,3.391760529954145,3.3917605299543663,-89.84796105838795,-89.84796105839382,,,,,,,,,,15,904,533,98.48803569507405,58.068720160923085,3.0404074006468766,0.0,-118.76591408776866,0.0,14,994,944,108.29326048772522,102.8459133806968,-0.351353129307047,0.0,-28.91795302938657,0.0
10,345.3,13,205,974,22.334123138816572,106.11432164491386,0.0,0.0,0.0,0.0,,,,,,,,,,15,904,533,98.48803569507405,58.068720160923085,0.0,0.0,0.0,0.0,14,994,944,108.29326048772522,102.8459133806968,0.0,0.0,0.0,0.0
11,374.4,13,204,973,22.225176196676003,106.00537470277328,0.33635267113947526,-0.9941934151084373,14.915861247870309,63.03687702536985,,,,,,,,,,15,904,533,98.48803569507405,58.068720160923085,0.0,0.0,0.0,0.0,14,993,944,108.18431354558466,102.8459133806968,-1.3305460862477172,0.0,48.121015777494236,0.0
12,412.6,13,205,974,22.334123138816572,106.11432164491386,0.0,0.4876534241359102,0.0,12.91797150028901,,,,,,,,,,15,903,533,98.37908875293348,58.068720160923085,-0.8132547455273008,0.0,16.68214862620104,0.0,14,993,944,108.18431354558466,102.8459133806968,-0.8132547455273008,0.0,16.68214862620104,0.0
13,442.1,13,205,974,22.334123138816572,106.11432164491386,0.0,0.0,0.0,0.0,,,,,,,,,,15,904,533,98.48803569507405,58.068720160923085,-0.5216309846334187,0.0,-10.777499682508651,0.0,14,994,944,108.29326048772522,102.8459133806968,0.0,0.0,0.0,0.0
14,474.8,13,205,975,22.334123138816572,106.22326858705442,0.5398489150890238,1.0796978301780475,-10.86215120903468,-21.72430241806936,,,,,,,,,,15,904,533,98.48803569507405,58.068720160923085,0.0,0.0,0.0,0.0,14,994,944,108.29326048772522,102.8459133806968,0.5398489150889886,0.0,-10.862151209033971,0.0
15,510.1,13,205,975,22.334123138816572,106.22326858705442,0.0,0.5660536130110195,0.0,-11.309762497722666,,,,,,,,,,15,903,533,98.37908875293348,58.068720160923085,0.0,0.0,0.0,0.0,14,993,944,108.18431354558466,102.8459133806968,0.0,0.0,0.0,0.0
16,543.9,13,205,974,22.334123138816572,106.11432164491386,0.0,0.5638482238997107,0.0,11.077568249503159,,,,,,,,,,15,903,533,98.37908875293348,58.068720160923085,-0.5257432390100284,0.0,10.69670883031593,0.0,14,994,944,108.29326048772522,102.8459133806968,0.0,0.0,0.0,0.0
17,574.2,13,205,975,22.334123138816572,106.22326858705442,0.0,0.0,0.0,0.0,,,,,,,,,,15,904,533,98.48803569507405,58.068720160923085,0.0,0.0,0.0,0.0,14,994,944,108.29326048772522,102.8459133806968,0.0,0.0,0.0,0.0
18,610.2,13,205,975,22.334123138816572,106.22326858705442,0.0,0.0,0.0,0.0,,,,,,,,,,15,903,533,98.37908875293348,58.068720160923085,0.0,0.0,0.0,0.0,14,993,944,108.18431354558466,102.8459133806968,0.5401368029129814,0.0,10.79194411414548,0.0
