frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,144.0,13,231,216,,,,,,,27,494,22,,,,,,,,,,,,,,,
1,144.0,13,232,217,,,,,,,22,549,19,,,,,,,,,,,,,,,
2,259.8,14,231,217,20.972286362059467,19.701238703752836,,,,,48,512,31,,,,,,,,,,,,,,,
5,307.0,10,231,217,20.972286362059467,19.701238703752836,-2.1498358948584255,0.0,-91.09474130756041,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,,,,
6,315.1,10,230,217,20.881497243608994,19.701238703752836,,,,,,,,,,,,,,10,551,211,50.02480426621111,19.15650399304999,,,,
7,324.9,10,230,217,20.881497243608994,19.701238703752836,,,,,,,,,,,,,,10,551,211,50.02480426621111,19.15650399304999,,,,
8,333.9,10,230,217,20.881497243608994,19.701238703752836,-1.6223744810730385,0.0,130.31120329903905,0.0,,,,,,,,,,10,551,211,50.02480426621111,19.15650399304999,0.0,-1.6223744810730385,0.0,130.31120329903905
9,346.1,10,231,217,20.972286362059467,19.701238703752836,1.6589033599116505,0.0,-81.92115357588399,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,2.042933743260063,0.0,-57.1449998114703
10,355.6,10,231,218,20.972286362059467,19.79202782220331,2.233304115367584,1.9985978628999124,-47.16587360860791,-62.456183215622325,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,2.233304115367584,0.0,-47.16587360860791
11,385.7,10,231,217,20.972286362059467,19.701238703752836,1.1565654056427668,0.0,-23.016226977965506,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,1.1565654056427668,0.0,-23.016226977965506
12,417.6,10,230,217,20.881497243608994,19.701238703752836,-0.740395265554637,0.0,14.807905311092737,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
13,450.3,10,231,217,20.972286362059467,19.701238703752836,-0.44292850571373243,-0.49192031235737,-9.354350701451583,9.85812249213166,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
14,486.2,10,231,217,20.972286362059467,19.701238703752836,-0.45576047126330804,0.0,-9.069860124642945,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
15,517.6,10,230,217,20.881497243608994,19.701238703752836,0.0,0.0,0.0,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
16,550.1,10,230,217,20.881497243608994,19.701238703752836,-0.4541706235261343,0.45691346957351986,9.12905775931928,9.156582556583562,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
17,586.1,10,230,217,20.881497243608994,19.701238703752836,-0.008114285575796009,0.0,18.031745723992533,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
18,617.7,10,230,217,20.881497243608994,19.701238703752836,0.44545000185730477,0.0,8.900099937208884,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
19,649.6,10,230,218,20.881497243608994,19.79202782220331,0.449428720687667,0.009079138823517956,9.03374312940034,-18.15827764703586,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
20,686.9,10,231,217,20.972286362059467,19.701238703752836,0.4456023984098011,0.0,-9.029430565548143,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
21,719.0,10,231,217,20.972286362059467,19.701238703752836,-0.024542070709205575,0.0,-18.17931163644898,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
22,750.1,10,231,217,20.972286362059467,19.701238703752836,-0.0063362927761329395,-0.4501086192282346,-18.103693646092875,9.020212810185065,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
23,785.6,10,231,217,20.972286362059467,19.701238703752836,-0.45233469412688027,0.0,-9.165849931649038,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
24,817.6,10,230,217,20.881497243608994,19.701238703752836,-0.23246432960620503,0.0,13.961821597970284,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
25,849.9,10,230,217,20.881497243608994,19.701238703752836,-0.23918535866688012,0.0,13.437379700386519,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
26,885.4,10,230,217,20.881497243608994,19.701238703752836,-0.22295479292892498,0.0,13.762641538822495,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
27,949.5,10,231,217,20.972286362059467,19.701238703752836,0.29698539766582527,0.0,-5.933774179137374,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
28,985.3,10,231,217,20.972286362059467,19.701238703752836,0.2854992994221733,0.0,-5.687237040282332,0.0,,,,,,,,,,10,551,212,50.02480426621111,19.247293111500465,0.0,0.0,0.0,0.0
