frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,135.3,,,,,,,,,,46,660,122,59.92081817731277,11.076272450957815,,,,,,,,,,,,,
1,135.3,6,588,219,,,,,,,49,658,118,59.73923994041182,10.713115977155919,,,,,,,,,,,,,
2,230.5,7,588,217,53.384001648878645,19.701238703752836,,,,,44,657,111,,,,,,,,,,,,,,,
3,255.0,,,,,,,,,,22,696,798,63.189226441529826,72.44971652347816,,,,,,,,,,,,,
4,276.8,,,,,,,,,,24,609,857,55.2905731363386,77.80627451205612,,,,,,,,,,,,,
5,293.4,11,551,822,50.02480426621111,74.62865536628954,-18.4137243916096,301.08927721415716,1112.6117457165913,-18192.705571852384,,,,,,,,,,10,543,203,49.29849131860732,18.4301910454462,,,,
6,306.5,7,544,818,49.38928043705779,74.26549889248764,,,,,,,,,,,,,,10,543,203,49.29849131860732,18.4301910454462,,,,
7,316.7,11,551,822,50.02480426621111,74.62865536628954,,,,,,,,,,,,,,10,544,203,49.38928043705779,18.4301910454462,,,,
8,326.5,11,551,822,50.02480426621111,74.62865536628954,0.0,0.0,0.0,0.0,,,,,,,,,,10,543,203,49.29849131860732,18.4301910454462,0.0,0.0,0.0,0.0
9,336.5,11,550,822,49.93401514776064,74.62865536628954,14.390658074568297,9.471738826015068,-251.14437436844196,-175.56513115875939,,,,,,,,,,10,543,203,49.29849131860732,18.4301910454462,0.0,0.0,0.0,0.0
10,347.4,11,551,822,50.02480426621111,74.62865536628954,0.0,0.0,0.0,0.0,,,,,,,,,,10,543,203,49.29849131860732,18.4301910454462,-2.39928479615417,0.0,36.35279994172984,0.0
11,411.6,11,551,822,50.02480426621111,74.62865536628954,0.0,0.0,0.0,0.0,,,,,,,,,,10,543,203,49.29849131860732,18.4301910454462,0.4174043209149265,0.0,9.809737271796156,0.0
12,444.4,11,551,822,50.02480426621111,74.62865536628954,0.40282430226779675,0.0,-8.12965292165079,0.0,,,,,,,,,,10,543,203,49.29849131860732,18.4301910454462,0.4775416370916061,0.0,8.851559538305953,0.0
13,479.4,11,551,822,50.02480426621111,74.62865536628954,0.0,0.0,0.0,0.0,,,,,,,,,,10,543,203,49.29849131860732,18.4301910454462,0.0,0.0,0.0,0.0
