frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,127.9,13,255,229,23.15122520487084,20.79070812515852,,,,,24,479,16,,,,,,,,,,,,,,,
1,127.9,12,254,229,23.060436086420367,20.79070812515852,,,,,30,485,13,,,,,,,,,,,,,,,
2,250.7,38,577,64,52.38532134592344,5.8105035808303285,,,,,14,488,20,,,,,,,,,,,,,,,
3,275.4,9,255,231,23.15122520487084,20.972286362059467,-3.326327404553742,-1.3883029907659008,-45.102744468525316,-35.516500135723504,,,,,,,,,,10,550,190,49.93401514776064,17.24993250559004,,,,
4,295.2,10,254,230,23.060436086420367,20.881497243608994,-4.833234535758123,-2.3304008136920022,-57.77925326668409,-34.34636424011795,,,,,,,,,,10,549,190,49.843226029310166,17.24993250559004,,,,
5,308.1,10,254,230,23.060436086420367,20.881497243608994,-175.08431022169165,86.88979828901844,11700.424827773762,-6120.943098124896,,,,,,,,,,10,550,190,49.93401514776064,17.24993250559004,,,,
6,317.8,9,253,230,22.969646967969894,20.881497243608994,-3.5617450397594084,-2.6797033203252316,33.99813903429576,-25.39860974915053,,,,,,,,,,10,549,190,49.843226029310166,17.24993250559004,0.915619881456877,1.7976616008910542,144.19210731604312,84.79535853259682
7,326.8,10,252,229,22.87885784951942,20.79070812515852,-1.503581962334518,-2.8465573388418854,268.51675791374754,1.6782297369608166,,,,,,,,,,10,549,191,49.843226029310166,17.340721624040512,1.3965109051164175,1.4500464337254677,88.38676614660864,-90.06499588356945
8,337.5,10,253,229,22.969646967969894,20.79070812515852,-1.7350232496846274,-1.7350232496846274,92.04367372332243,92.04367372332243,,,,,,,,,,10,550,191,49.93401514776064,17.340721624040512,1.0551574246616828,2.7901806743463102,71.77941664365194,-20.264257079670486
9,347.5,9,252,229,22.87885784951942,20.79070812515852,-1.536116922160863,-2.0413344373990716,102.40779481072418,68.38641331320173,,,,,,,,,,10,550,191,49.93401514776064,17.340721624040512,2.5465519526372797,3.556986983113717,-34.36503181567926,33.677731179366994
