frame_no,timestamp,position_px_x-hotpink,position_px_y-hotpink,time_s,xposavg,yposavg,xvelocity,yvelocity,xvelavg,yvelavg,xaccel,yaccel,xaccelavg,yaccelavg
209,7108.8,434.0,84.0,7.1088000000000005,,,,,,,,,,
210,7140.9,434.0,83.0,7.140899999999999,,,,,,,,,,
211,7173.2,435.0,85.0,7.1732,434.3333333333333,84.0,,,,,,,,
212,7208.7,435.0,85.0,7.208699999999999,434.6666666666667,84.33333333333333,0.009702803296161244,0.009702803296160006,,,,,,
213,7272.6,436.0,86.0,7.272600000000001,435.3333333333333,85.33333333333333,0.010780892551288194,0.01617133882693321,,,,,,
214,7308.5,436.0,86.0,7.3085,435.6666666666667,85.66666666666667,0.009594694067234668,0.009594694067233851,0.01002612997156137,0.011822945396775688,,,,
215,7340.7,436.0,86.0,7.3407,436.0,86.0,0.010697189969368599,0.010697189969369055,0.01035759219596382,0.012154407621178705,0.01029385790069737,0.010293857900714935,,
216,7372.9,436.0,87.0,7.3729,436.0,86.33333333333333,0.0,0.010697189969369055,0.006763961345534422,0.010329691335323988,-0.11160344255992072,-0.056668207635240435,,
217,7408.8,436.0,88.0,7.4088,436.0,87.0,0.0,0.019189388134466818,0.003565729989789533,0.01352792269106831,-0.08908722439400629,0.0890872243939905,-0.06346560301774322,0.014237624886488333
218,7441.0,437.0,90.0,7.441,436.3333333333333,88.33333333333333,0.010697189969368599,0.04278875987747667,0.003565729989789533,0.024225112660437514,0.0,0.33221086861395493,-0.06689688898464234,0.121543295124235
219,7472.9,437.0,92.0,7.472899999999999,436.6666666666667,90.0,0.010797790501997796,0.05398895250998299,0.007164993490455465,0.038655700173975495,0.11282957682338567,0.45236951453098007,0.007914117476459792,0.29122253584630853
220,7509.1,437.0,96.0,7.5091,437.0,92.66666666666667,0.009515180028001537,0.07612144022401675,0.010336720166455976,0.057633050870492135,0.08761675900553681,0.524236207086082,0.06681544527630749,0.4362721967436724
221,7573.1,437.0,105.0,7.5731,437.0,97.66666666666667,0.0,0.08073035555008205,0.006770990176666444,0.07028024942802726,-0.0557145310904614,0.19761247746148608,0.04824393491282036,0.3914060663595161
222,7609.1,437.0,111.0,7.609100000000001,437.0,104.0,0.0,0.1817928006461083,0.0031717266760005122,0.11288153214006902,-0.09997954168516344,1.1833689642233667,-0.022692437923362677,0.6350725495903117
223,7641.1,438.0,118.0,7.641100000000001,437.3333333333333,111.33333333333333,0.010764047406676996,0.2368090429469072,0.0035880158022256656,0.1664440663810325,0.013009035194536032,1.6738291950301076,-0.04756167919369628,1.0182702122383203
224,7673.1,439.0,125.0,7.673100000000001,438.0,118.0,0.021528094813355828,0.2152809481335523,0.010764047406677607,0.21129426390885594,0.22425098763912296,1.401568672744481,0.04576016038283185,1.4195889439993186
225,7709.3,439.0,133.0,7.7093,438.6666666666667,125.33333333333333,0.01903036005600563,0.20933396061605583,0.017107500758679485,0.22047465056550508,0.17523351801110584,0.25360184134390495,0.13749784694825493,1.1096665697061645
226,7747.1,440.0,142.0,7.7471000000000005,439.3333333333333,133.33333333333334,0.018224842170034793,0.2186981060404303,0.019594432346465417,0.21443767159667948,0.06579184094671653,-0.15970843832871656,0.1550921155323151,0.4984873585865565
227,7773.5,441.0,152.0,7.7735,440.0,142.33333333333334,0.02609466037982551,0.35227791512763434,0.02111662086862198,0.2601033272613735,0.05765865614229454,1.7297596842687277,0.09956133836670562,0.6078843624279721
228,7809.0,442.0,162.0,7.809,441.0,152.0,0.029108409888480426,0.28138129558864383,0.024475970812780246,0.28411910558556946,0.09462957589178252,0.6765007978646784,0.07269335766026452,0.74885068126823
229,7841.3,443.0,174.0,7.8413,442.0,162.66666666666666,0.03199221520250911,0.34125029549343017,0.029065095156938347,0.32496983540323615,0.1420781530699093,1.2647284773271334,0.09812212836799544,1.2236629864868467
230,7873.2,444.0,186.0,7.8732,443.0,174.0,0.032393371505989706,0.3671248770678836,0.031164665532326413,0.3299188227166525,0.06581725314696261,0.15514066813217747,0.1008416607028848,0.6987899811079966
231,7908.7,444.0,199.0,7.9087,443.6666666666667,186.33333333333334,0.019405606592320837,0.35900372195792557,0.027930397766939882,0.35579296483974643,-0.09110613423624066,0.7288490738899721,0.03892975732687708,0.7162394064497611
232,7940.8,446.0,212.0,7.9408,444.6666666666667,199.0,0.03219154364613798,0.4077595528510808,0.02799684058148284,0.37796271729229663,0.0020698696119300893,0.6906464938489014,-0.007739670492449336,0.5248787452903504
233,7973.6,447.0,226.0,7.9736,445.6666666666667,212.33333333333334,0.03150452899515406,0.4200603866020544,0.027700559744537626,0.39560788713702016,-0.009032952345890686,0.5379624952659623,-0.0326897389900671,0.652486021001612
234,8008.7,448.0,241.0,8.0087,447.0,226.33333333333334,0.03925350621238615,0.4121618152300604,0.0343165262845594,0.41332725156106515,0.18848907521430072,0.5048251972662529,0.06050866416011336,0.5778113954603722
235,8042.9,449.0,257.0,8.0429,448.0,241.33333333333334,0.030214869913480828,0.4532230487022124,0.03365763504034035,0.4284817501781091,-0.019265825854358043,0.4431139946504044,0.05339676567135065,0.4953005623942066
236,8072.8,451.0,273.0,8.0728,449.3333333333333,257.0,0.04608020294497165,0.5414423846034243,0.03851619302361287,0.46894241617856564,0.16249357803586298,1.3531995317877827,0.11057227579860186,0.7670462412348135
237,8108.9,452.0,290.0,8.1089,450.6666666666667,273.3333333333333,0.03816615146966202,0.46753535550334585,0.03815374144270483,0.4874002629363275,-0.010040209997452912,0.5112976941208361,0.04439584739468399,0.7692037401863412
