frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
64,2177.9,10,955,249,,,,,,,9,525,796,,,,,,,,,,,,,,,
65,2210.0,10,955,249,,,,,,,9,524,796,,,,,,,,,,,,,,,
66,2242.0,10,954,250,,,,,,,9,522,797,,,,,,,,,,,,,,,
67,2280.0,10,954,251,,,,,,,9,521,797,,,,,,,,,,,,,,,
68,2310.2,10,954,252,,,,,,,9,520,798,,,,,,,,,,,,,,,
69,2345.9,10,953,253,,,,,,,9,519,798,,,,,,,,,,,,,,,
70,2379.5,10,953,254,,,,,,,10,519,798,,,,,,,,,,,,,,,
71,2410.0,10,953,254,,,,,,,9,519,798,,,,,,,,,,,,,,,
72,2442.2,10,953,254,,,,,,,9,519,797,,,,,,,,,,,,,,,
73,2478.0,10,953,253,,,,,,,9,518,797,,,,,,,,,,,,,,,
74,2511.2,10,953,253,,,,,,,9,518,798,,,,,,,,,,,,,,,
75,2542.2,10,953,254,,,,,,,9,518,798,,,,,,,,,,,,,,,
76,2577.9,10,954,254,,,,,,,9,517,797,,,,,,,,,,,,,,,
77,2610.1,10,954,255,,,,,,,9,517,798,,,,,,,,,,,,,,,
78,2642.3,10,954,255,,,,,,,9,517,797,,,,,,,,,,,,,,,
79,2677.8,10,954,255,,,,,,,9,517,797,,,,,,,,,,,,,,,
80,2709.9,10,953,253,,,,,,,9,516,795,,,,,,,,,,,,,,,
81,2744.6,10,951,250,,,,,,,9,515,791,,,,,,,,,,,,,,,
82,2778.8,10,949,246,,,,,,,9,513,787,,,,,,,,,,,,,,,
83,2814.6,10,946,241,,,,,,,9,511,783,,,,,,,,,,,,,,,
84,2844.1,10,944,237,,,,,,,9,506,778,,,,,,,,,,,,,,,
85,2878.1,10,940,232,,,,,,,9,503,773,,,,,,,,,,,,,,,
86,2910.1,10,936,226,,,,,,,9,497,766,,,,,,,,,,,,,,,
87,2942.3,10,932,222,,,,,,,8,490,759,,,,,,,,,,,,,,,
88,2978.1,10,928,216,,,,,,,8,484,751,,,,,,,,,,,,,,,
89,3012.8,10,923,209,,,,,,,8,476,743,,,,,,,,,,,,,,,
90,3042.4,10,917,202,,,,,,,7,468,734,,,,,,,,,,,,,,,
91,3078.0,10,912,195,,,,,,,8,461,725,,,,,,,,,,,,,,,
92,3111.3,10,905,189,,,,,,,7,451,717,,,,,,,,,,,,,,,
93,3142.1,10,899,183,,,,,,,8,442,708,,,,,,,,,,,,,,,
94,3178.2,10,891,177,,,,,,,7,431,699,,,,,,,,,,,,,,,
95,3210.4,10,883,171,,,,,,,7,419,689,,,,,,,,,,,,,,,
96,3242.2,10,874,164,,,,,,,9,408,681,,,,,,,,,,,,,,,
97,3278.0,10,865,157,,,,,,,8,395,671,,,,,,,,,,,,,,,
98,3310.1,10,855,150,,,,,,,8,383,662,,,,,,,,,,,,,,,
99,3377.7,10,832,138,,,,,,,9,355,646,,,,,,,,,,,,,,,
100,3410.0,10,819,133,,,,,,,8,341,641,,,,,,,,,,,,,,,
101,3442.2,10,806,130,,,,,,,9,325,636,,,,,,,,,,,,,,,
102,3477.9,10,792,128,,,,,,,9,309,632,,,,,,,,,,,,,,,
103,3510.1,10,778,130,,,,,,,9,294,633,,,,,,,,,,,,,,,
104,3542.2,10,764,133,,,,,,,9,280,636,,,,,,,,,,,,,,,
105,3578.4,10,750,137,,,,,,,9,269,643,,,,,,,,,,,,,,,
106,3611.3,10,736,144,,,,,,,9,258,651,,,,,,,,,,,,,,,
107,3642.1,10,726,151,,,,,,,9,250,659,,,,,,,,,,,,,,,
108,3678.0,10,717,161,,,,,,,9,242,671,,,,,,,,,,,,,,,
109,3710.5,10,708,174,,,,,,,9,235,685,,,,,,,,,,,,,,,
110,3742.1,9,701,190,,,,,,,8,228,699,,,,,,,,,,,,,,,
111,3777.9,9,696,208,,,,,,,9,221,714,,,,,,,,,,,,,,,
112,3810.2,9,695,229,,,,,,,8,214,728,,,,,,,,,,,,,,,
113,3842.8,9,697,251,,,,,,,9,207,739,,,,,,,,,,,,,,,
114,3878.0,9,703,275,,,,,,,9,203,751,,,,,,,,,,,,,,,
115,3910.1,9,713,297,,,,,,,9,199,758,,,,,,,,,,,,,,,
116,3942.4,9,726,318,,,,,,,9,200,761,,,,,,,,,,,,,,,
117,3978.0,9,742,338,,,,,,,9,202,761,,,,,,,,,,,,,,,
118,4012.6,9,760,357,,,,,,,8,205,760,,,,,,,,,,,,,,,
119,4042.2,9,778,375,,,,,,,8,207,756,,,,,,,,,,,,,,,
120,4078.2,9,795,394,,,,,,,9,209,752,,,,,,,,,,,,,,,
121,4110.3,9,812,416,,,,,,,8,211,748,,,,,,,,,,,,,,,
122,4148.8,9,829,439,,,,,,,9,211,741,,,,,,,,,,,,,,,
123,4178.1,9,844,463,,,,,,,8,215,738,,,,,,,,,,,,,,,
124,4210.1,9,860,486,,,,,,,8,219,734,,,,,,,,,,,,,,,
125,4248.8,9,874,510,,,,,,,9,222,729,,,,,,,,,,,,,,,
126,4278.1,9,886,532,,,,,,,8,225,722,,,,,,,,,,,,,,,
127,4314.7,9,897,556,,,,,,,9,227,714,,,,,,,,,,,,,,,
128,4343.0,9,908,579,,,,,,,9,231,707,,,,,,,,,,,,,,,
129,4378.0,9,917,600,,,,,,,8,234,697,,,,,,,,,,,,,,,
130,4410.1,9,925,619,,,,,,,9,239,688,,,,,,,,,,,,,,,
131,4442.0,9,930,635,,,,,,,8,241,679,,,,,,,,,,,,,,,
132,4477.8,9,931,649,,,,,,,9,241,670,,,,,,,,,,,,,,,
133,4516.7,9,930,662,,,,,,,9,239,661,,,,,,,,,,,,,,,
134,4542.3,9,928,676,,,,,,,9,238,652,,,,,,,,,,,,,,,
135,4578.1,9,927,689,,,,,,,9,238,643,,,,,,,,,,,,,,,
136,4615.2,9,927,703,,,,,,,9,240,633,,,,,,,,,,,,,,,
137,4642.2,9,926,717,,,,,,,9,241,624,,,,,,,,,,,,,,,
138,4677.9,9,924,728,,,,,,,9,243,615,,,,,,,,,,,,,,,
139,4710.1,9,919,738,,,,,,,9,242,606,,,,,,,,,,,,,,,
140,4742.1,9,913,746,,,,,,,9,239,598,,,,,,,,,,,,,,,
141,4778.0,9,907,753,,,,,,,9,236,588,,,,,,,,,,,,,,,
142,4811.0,9,899,759,,,,,,,9,233,580,,,,,,,,,,,,,,,
143,4842.2,9,891,761,,,,,,,9,227,573,,,,,,,,,,,,,,,
144,4877.8,9,880,762,,,,,,,9,220,565,,,,,,,,,,,,,,,
145,4910.1,9,870,762,,,,,,,9,212,557,,,,,,,,,,,,,,,
146,4945.6,9,866,762,,,,,,,9,211,549,,,,,,,,,,,,,,,
147,4978.0,9,863,763,,,,,,,10,210,543,,,,,,,,,,,,,,,
148,5012.4,9,861,762,,,,,,,10,210,536,,,,,,,,,,,,,,,
149,5043.2,9,860,758,,,,,,,10,209,530,,,,,,,,,,,,,,,
150,5078.1,9,860,754,,,,,,,10,209,525,,,,,,,,,,,,,,,
151,5110.3,9,860,747,,,,,,,10,209,521,,,,,,,,,,,,,,,
152,5142.1,9,863,739,,,,,,,10,209,517,,,,,,,,,,,,,,,
153,5178.1,9,866,728,,,,,,,10,210,514,,,,,,,,,,,,,,,
154,5210.0,9,871,712,,,,,,,10,211,510,,,,,,,,,,,,,,,
155,5242.2,9,876,692,,,,,,,9,212,506,,,,,,,,,,,,,,,
156,5278.2,9,882,670,,,,,,,10,213,500,,,,,,,,,,,,,,,
157,5312.6,8,889,644,,,,,,,10,215,495,,,,,,,,,,,,,,,
158,5342.5,9,895,615,,,,,,,10,216,488,,,,,,,,,,,,,,,
159,5377.8,8,901,584,,,,,,,10,217,481,,,,,,,,,,,,,,,
160,5410.2,8,905,552,,,,,,,10,218,473,,,,,,,,,,,,,,,
161,5443.1,9,908,519,,,,,,,10,218,465,,,,,,,,,,,,,,,
162,5478.1,9,909,486,,,,,,,10,219,457,,,,,,,,,,,,,,,
163,5510.3,9,910,455,,,,,,,10,218,449,,,,,,,,,,,,,,,
164,5542.2,9,910,424,,,,,,,10,218,442,,,,,,,,,,,,,,,
165,5578.5,9,910,394,,,,,,,10,218,435,,,,,,,,,,,,,,,
166,5610.1,9,909,364,,,,,,,10,218,427,,,,,,,,,,,,,,,
167,5642.1,9,908,335,,,,,,,10,218,421,,,,,,,,,,,,,,,
168,5678.1,9,907,306,,,,,,,10,220,415,,,,,,,,,,,,,,,
169,5712.7,9,906,278,,,,,,,10,222,410,,,,,,,,,,,,,,,
170,5742.2,10,905,251,,,,,,,10,225,406,,,,,,,,,,,,,,,
171,5778.0,10,902,227,,,,,,,10,228,402,,,,,,,,,,,,,,,
172,5810.0,10,899,204,,,,,,,10,229,399,,,,,,,,,,,,,,,
173,5842.5,10,896,186,,,,,,,10,231,397,,,,,,,,,,,,,,,
174,5878.0,10,893,171,,,,,,,10,231,394,,,,,,,,,,,,,,,
175,5910.1,10,891,161,,,,,,,10,232,392,,,,,,,,,,,,,,,
176,5942.3,10,889,154,,,,,,,10,231,391,,,,,,,,,,,,,,,
177,5978.0,10,887,147,,,,,,,10,231,391,,,,,,,,,,,,,,,
178,6010.1,10,884,144,,,,,,,10,229,391,,,,,,,,,,,,,,,
179,6042.3,10,883,141,,,,,,,10,229,392,,,,,,,,,,,,,,,
180,6077.9,10,881,140,,,,,,,10,228,393,,,,,,,,,,,,,,,
181,6109.8,10,879,140,,,,,,,10,227,395,,,,,,,,,,,,,,,
182,6142.1,10,878,139,,,,,,,10,228,396,,,,,,,,,,,,,,,
