frame_no,timestamp,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green
79,2649.4,46.84718512044453,12.61968746461587,-0.4737602767595227,-0.4737602767595227,-9.353608623090263,-9.353608623090263,18.067034571644303,70.54314503601822,0.0,0.0,0.0,0.0
80,2683.2,46.84718512044453,12.61968746461587,-0.4654492321776093,-0.9308984643552188,-9.207699944166366,-18.415399888332733,18.067034571644303,70.54314503601822,0.0,0.0,0.0,0.0
81,2717.1,46.84718512044453,12.528898346165397,0.0,-0.8982365556770314,0.0,-0.3422647566238903,18.067034571644303,70.54314503601822,0.0,0.0,0.0,0.0
82,2747.0,46.756396001994055,12.528898346165397,-0.0150034899607463,-0.9227756223825424,18.75436245093405,0.1524744914709991,18.067034571644303,70.54314503601822,0.0,0.0,0.0,0.0
83,2781.9,46.756396001994055,12.438109227714923,-0.0146735668900803,-0.9272449970808896,18.341958612606646,18.489431646677804,18.067034571644303,70.54314503601822,0.0,0.0,0.0,0.0
84,2816.3,46.84718512044453,12.438109227714923,0.0,-0.9227756223825492,0.0,-0.1524744914712275,18.067034571644303,70.54314503601822,0.0,0.0,0.0,0.0
85,2846.2,46.84718512044453,12.438109227714923,0.4816449866959655,-1.2622245832519374,-8.741288324790643,-6.996203541257207,18.067034571644303,70.54314503601822,0.0,0.0,0.0,0.0
86,2882.2,46.84718512044453,12.438109227714923,0.907907526693135,-1.3700323842400943,0.0544739613358862,-27.31869160997204,18.067034571644303,70.54314503601822,0.0,0.0,0.0,0.0
87,2913.9,46.84718512044453,12.347320109264448,0.4470844943463037,-1.8124753284997188,9.161567507096397,-18.07907686338882,18.067034571644303,70.54314503601822,0.0,0.0,0.0,0.0
88,2956.4,46.84718512044453,12.256530990813976,0.5606829348429616,-1.2986877275019983,10.175733844699824,6.334440487717089,18.067034571644303,70.54314503601822,0.0,0.0,0.0,0.0
89,2981.9,46.937974238895,12.1657418723635,0.4562230614211175,-1.3686691842633618,-9.11534588253982,27.34603764761964,18.067034571644303,70.54314503601822,0.0,-0.4525842080598193,0.0,-9.078920923968266
90,3014.1,46.937974238895,12.074952753913028,0.4605975816506864,-0.0892085527973837,-8.891845205611713,52.47561929257721,18.067034571644303,70.54314503601822,0.0,0.0,0.0,0.0
91,3045.8,46.937974238895,12.1657418723635,0.5374491463346754,1.5889769615336604,-10.695505399695032,58.26655926699557,18.067034571644303,70.54314503601822,0.0,-0.4252852215736655,0.0,-9.51421077346007
92,3082.0,46.937974238895,12.1657418723635,0.0,3.5320944653144397,0.0,70.57131798830055,18.067034571644303,70.45235591756774,0.0,-0.0160213107021406,0.0,17.801456335710107
93,3117.7,46.937974238895,12.347320109264448,-0.4893538378018873,7.627428441248853,-9.446985285750728,96.49420684731166,18.067034571644303,70.54314503601822,0.0,0.0,0.0,0.0
94,3146.3,46.937974238895,12.61968746461587,-0.9156372019083424,11.862468520308203,-18.22163585887248,146.1810339424481,18.067034571644303,70.45235591756774,-0.4578186009541711,0.0081630209000614,-9.11081792943624,18.140046444579013
95,3183.9,46.937974238895,12.892054819967292,-1.4167406923007289,21.911950687994604,-27.806490526020173,290.1716893263245,18.067034571644303,70.54314503601822,0.0,0.4367902110106273,0.0,-8.914085938992395
96,3213.9,46.84718512044453,13.52757864912061,-1.8182594754983945,35.22885977609657,-18.180990549935405,477.340124438502,18.067034571644303,70.54314503601822,0.0,0.0,0.0,0.0
97,3245.9,46.756396001994055,14.526258952075825,-3.172669854227102,50.2509972521552,-27.1003049507412,624.6729566568899,17.97624545319383,70.54314503601822,0.8978997610261766,0.4571373415954832,36.33407821016616,-9.124497836237207
98,3281.9,46.66560688354358,16.432830439535774,-4.710503692341879,68.38030768205272,-39.41316253604411,658.1621268789432,18.067034571644303,70.54314503601822,2.381253227202836,-1.4287519363216905,48.59700463679256,-29.15820278207531
99,3313.8,46.57481776509311,19.42887134840141,-5.436486396903102,78.88755335289876,-54.25598485356219,396.70779501699633,18.067034571644303,70.54314503601822,4.523602935659115,-3.6188823485273343,90.56262133451676,-72.45009706761425
100,3346.1,46.30245040974168,22.697279612618477,-6.3031803123247325,90.17871764247631,-35.38493373384235,172.28753017586874,18.24861280854525,70.54314503601822,10.765466581205468,-6.714959994048721,160.62334335029908,-134.03113760576315
101,3378.1,46.03008305439026,26.056476995286005,-7.813586904770528,99.90576259150797,-25.10000196351211,-2.7472638965048604,18.520980163896677,70.2707776806668,21.963481991782416,-11.22236697242626,358.5179384937609,-174.45125742799934
102,3414.0,45.75771569903884,29.324885259503063,-8.612505060586667,99.71940750044604,-9.137601247906312,19.09767698993643,18.974925756149045,69.81683208841442,37.64958430866256,-15.87290633992136,570.6346116595652,-172.14120016579986
103,3447.1,45.48534834368742,32.6840826421706,-8.457598323073848,98.4588906386756,-7.276809053268844,-8.323708468952388,20.155184296005203,69.1813082592611,51.53922893941502,-22.55783346856383,646.7778914657314,-179.6891292163183
104,3478.2,45.122191869885526,36.04328002483813,-9.0743791903732,100.72651599734291,-0.0906530934843308,19.14593334375682,22.515701375717523,68.27341707475637,67.17761553477085,-29.047083251197304,544.8613530744404,-181.68692996003372
105,3514.1,44.8498245145341,39.40247740750567,-9.0743791903732,101.63395391638024,-0.0906530934829035,19.154998653104798,25.60253140303364,67.36552589025163,81.23065899314523,-34.4926177496215,300.11613128714225,-199.88100582221537
