frame_no,timestamp,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
72,2608.3,0.005538136225478908,0.001280126570151682,0.0011223576508254856,0.010160792680148356,0.00450608364313251,0.026889163974006206,0.007735232891980375,0.0016432830439535773,-0.004974137660782248,0.009833456837373055,-0.006633128186238484,0.020892745932749326
73,2644.1,0.005583530784704143,0.0016705197794887195,0.0012655644442939725,0.010740616098837972,0.001867347213249032,0.01710968941607755,0.007553654655079427,0.0020064395177554727,-0.005076895515360765,0.010347509182369876,-0.0017515955172588687,0.012296348057830274
74,2677.8,0.0056289253439293805,0.002060912988825757,0.0013697613885197313,0.011246291514085969,0.0001744112528401197,0.006722223541666026,0.007381155330023528,0.002378674903402416,-0.005233949292983843,0.0107898243046329,-7.863286992477256e-05,0.0029413423148453213
75,2709.2,0.0056743199031546185,0.002442227286317748,0.0013606501047641682,0.011518721069404762,0.0002172553843934221,2.7156923048576883e-05,0.007199577093122579,0.0027418313772043118,-0.0052136506751982,0.010837671108223423,0.0018855956903821344,-0.0009876067682226273
76,2744.3,0.005719714462379855,0.002832620495654785,0.0007245918497693105,0.011286004588843273,-0.012665203391385972,-0.006223691611580606,0.007036156679911727,0.003104987851006207,-0.0045320255749665035,0.010923663405265984,0.012627243030118352,-0.000796263768486794
77,2776.6,0.005765109021605092,0.003204855881301728,9.697126764697632e-06,0.011083168951200617,-0.027706076470553426,-0.01002429971343431,0.006863657354855826,0.003459065412963055,-0.003673779027615658,0.011124105249700963,0.03166102690571808,0.003825478435520387
78,2808.5,0.00581050358083033,0.003586170178793718,-0.0007644412153659455,0.010810714455649519,-0.04301869184220026,-0.014287108861724195,0.0066911580297999255,0.003813142974919904,-0.0027933009056807945,0.011124649078812849,0.04686263733111638,0.006767626316851478
79,2844.4,0.005728793374224902,0.003931168828905519,-0.0015946553854769493,0.010444382818381639,-0.03367340270744045,-0.010591928177862616,0.0066457634705746884,0.004194457272411894,-0.0019470895433649116,0.011219069935034475,0.03901983052835506,0.0066984921354896025
80,2876.1,0.0056289253439293805,0.004258009655327226,-0.002311964251753173,0.010276747073136448,-0.01896048390166508,-0.0061851852727801806,0.006654842382419736,0.004584850481748931,-0.0010981447611748902,0.011455620494923578,0.02011051613831746,0.002838144584029603
81,2908.3,0.005519978401788813,0.004593929393593979,-0.0030878428449643896,0.010037397729922473,-0.0035424630595720786,-0.001210220311162522,0.0066457634705746884,0.004957085867395875,-0.00018248781139097438,0.011581046511863494,0.005458266362066287,0.0023786148264479893
82,2944.2,0.005401952547803197,0.004920770220015684,-0.0032263373814080455,0.009951288801701359,0.0009743647128292208,0.0007102845570153357,0.0066457634705746884,0.005347479076732911,9.069823845202435e-05,0.011632481171244404,0.0018175999689784494,0.001586302177334656
83,2976.3,0.005302084517507675,0.005256689958282439,-0.0032228579102413814,0.010032459425642319,0.0007789737521998908,0.001309184324793688,0.0066457634705746884,0.005746951197914997,4.59396592728143e-05,0.01157552362874344,0.0027255002378841664,-0.0004448684598805253
84,3008.4,0.005193137575367106,0.005592609696549193,-0.0031759420182105947,0.010072651599734292,0.0017822398178896685,0.001914593334375682,0.006654842382419736,0.006128265495406988,0.00013616103706561266,0.011660531910419552,0.0009083439967066848,-0.0007904949751780447
85,3044.2,0.005084190633226539,0.005919450522970897,-0.003079622181644664,0.010142246489883456,0.0019599392824384072,0.0031088692066265607,0.006663921294264783,0.006518658704744026,0.0001811276761463633,0.01172779118689885,-9.01121509167106e-06,0.0003198981357542578
86,3076.1,0.004984322602931017,0.006264449173082699,-0.0031294235286735456,0.010202940074958904,0.0010934587441495244,0.002107261553294091,0.006663921294264783,0.006899973002236015,0.0002715564963127546,0.011699219063461086,0.0017958792619142494,0.002923734887087819
87,3108.4,0.0048844545726354945,0.006609447823194499,-0.0030852889247268895,0.010299284333443548,3.082205178442666e-05,0.002618061339809459,0.006673000206109831,0.007290366211573053,0.00027214067729116454,0.011796511550645112,0.0018112488078043535,0.0035100877796892293
88,3144.7,0.004784586542339974,0.006954446473306299,-0.003040446657422754,0.010390987523589848,-0.001180326860111857,0.0018412011158887446,0.006682079117954878,0.007698917244600186,0.00027305855639248933,0.011797164353107679,0.0018384814687459207,0.001060662385814532
89,3176.5,0.0046756396001994055,0.0072994451234181,-0.003085448916858084,0.01037861724728164,-0.00021747046097301488,0.001392283712099001,0.006700236941644972,0.008089310453937223,0.0002946649104284853,0.009464122874797056,-0.0013355522874973055,-0.04744756334653058
90,3208.5,0.004575771569903884,0.00765352268537495,-0.0030085472132276147,0.010208695034556242,0.001502478877271998,-0.004428037341553833,0.0067093158534900195,0.008488782575119308,0.00026558512905358855,0.007595972522345198,-0.0019422287925711058,-0.08743694149197526
91,3244.3,0.004475903539608362,0.007998521335486751,-0.0030364175164580144,0.00948999425446529,0.0012612333051869524,-0.019933435435658908,0.006718394765335067,0.008879175784456347,0.00026696406386620764,0.005489405877640478,-0.001960860836743546,-0.12772247916226395
