frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
5,309.1,12,457,492,28.628532720987923,30.821089931566867,,,,,,,,,,,,,,,,,,,,,,,15,507,691,31.76075730752927,43.287343786001436,,,,
6,317.9,13,457,492,28.628532720987923,30.821089931566867,,,,,,,,,,,,,,,,,,,,,,,15,505,692,31.63546832406762,43.34998827773226,,,,
7,329.0,13,457,493,28.628532720987923,30.883734423297696,,,,,,,,,,,,,,,,,,,,,,,15,503,692,31.510179340605966,43.34998827773226,,,,
8,340.1,13,457,492,28.628532720987923,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,15,502,692,31.447534848875137,43.34998827773226,-9.656303724213307,1.8021719708563453,28.880422900150354,-14.104392579136888
9,350.7,13,457,492,28.628532720987923,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,15,500,692,31.322245865413485,43.34998827773226,-8.26671461690809,0.3135187721278029,78.21649914401644,19.11699830047578
10,360.2,12,457,492,28.628532720987923,30.821089931566867,0.0,-1.4875331859586518,0.0,33.352762017010136,,,,,,,,,,,,,,,,,,,15,498,692,31.19695688195183,43.34998827773226,-8.347613033431942,0.3639788414555866,108.43386754408758,23.331977016383767
11,381.6,12,457,492,28.628532720987923,30.821089931566867,0.0,0.1821698834580202,0.0,8.779271491952782,,,,,,,,,,,,,,,,,,,15,496,693,31.071667898490176,43.41263276946309,-7.320934011501593,1.2505173158266478,83.66751506185992,-12.48137392831841
12,416.9,13,457,492,28.628532720987923,30.821089931566867,0.0,0.2641350368350717,0.0,7.979910478400959,,,,,,,,,,12,909,502,56.943842983321716,31.447534848875137,,,,,15,494,693,30.94637891502852,43.41263276946309,-4.424104559084391,1.0895308089608484,37.87443915881437,4.327474111398708
13,449.4,13,457,492,28.628532720987923,30.821089931566867,0.0,0.2957949309642776,0.0,6.632173340006227,,,,,,,,,,,,,,,,,,,15,493,694,30.883734423297696,43.475277261193916,-3.3340519041204764,1.0378258306839583,3.9778169696224293,-8.223300127855254
14,482.1,13,457,493,28.628532720987923,30.883734423297696,0.0,0.30994912770038807,0.0,-6.236400959766362,,,,,,,,,,10,914,499,57.25706544197585,31.259601373682656,,,,,15,491,694,30.75844543983604,43.475277261193916,-3.450828398880512,0.6267962544301678,-6.650487945022482,0.06901449754268739
15,513.4,12,457,493,28.628532720987923,30.883734423297696,0.0,0.022720800109627192,0.0,-12.983314348358359,,,,,,,,,,,,,,,,,,,15,490,695,30.695800948105212,43.537921752924746,-3.1673175271686844,0.6607284655653111,-11.827039533618366,-13.214569311306217
16,549.3,13,457,493,28.628532720987923,30.883734423297696,0.0,-0.0018887710521009193,0.0,-12.591807014007799,,,,,,,,,,,,,,,,,,,15,488,695,30.57051196464356,43.537921752924746,-3.455042257763316,-0.0018887710521009193,-6.400046271781384,-12.591807014007799
17,581.5,13,457,493,28.628532720987923,30.883734423297696,0.0,-0.31369157588508406,0.0,-6.311701728070104,,,,,,,,,,,,,,,,,,,15,485,695,30.382578489451078,43.537921752924746,-3.4619855423077808,0.3155879438137446,6.42599813763276,-6.330751129663881
18,613.4,13,457,492,28.628532720987923,30.821089931566867,0.0,-0.31369158864713725,0.0,6.25506657322307,,,,,,,,,,,,,,,,,,,15,484,695,30.319933997720252,43.537921752924746,-3.7530567820989527,0.31181787503600983,0.11225443501299216,6.236357500720197
19,648.9,12,457,492,28.628532720987923,30.821089931566867,-0.3116585336029752,-0.0037662320979024414,-6.258203486003517,12.55410699300777,,,,,,,,,,,,,,,,,,,15,482,694,30.194645014258597,43.475277261193916,-4.697475396632148,0.619550835108048,-18.548410332010413,25.070513965014804
20,681.2,13,457,492,28.628532720987923,30.821089931566867,-0.3118153800235104,-0.0031353787775910465,-6.255072818926986,12.541515110366849,,,,,,,,,,,,,,,,,,,15,480,695,30.069356030796943,43.537921752924746,-7.8110613944758915,1.2472615200940416,-93.6692449213461,25.020291275707944
21,713.7,13,457,492,28.628532720987923,30.821089931566867,-0.31463439225286194,0.0,-6.2738662463182795,0.0,,,,,,,,,,,,,,,,,,,15,478,696,29.94406704733529,43.60056624465557,-13.195869789138621,0.6261396702587436,-188.4036404178577,0.03127550471815592
22,749.1,12,456,493,28.565888229257098,30.883734423297696,-0.3124411995906158,-0.0006245699582936024,6.242581410401912,-12.49139916586987,,,,,,,,,,,,,,,,,,,15,473,697,29.630844588681157,43.6632107363864,-18.465259273761433,-0.0018737098748806452,-256.25765507975166,-37.47419749760819
23,781.4,12,456,493,28.565888229257098,30.883734423297696,-0.31228497914672954,-0.001250389056503084,6.24569958293459,-12.503890565035752,,,,,,,,,,12,910,503,57.00648747505254,31.510179340605966,,,,,15,460,699,28.816466196180404,43.78849971984805,-23.803680202316144,-1.5726783972422278,-225.5447033389386,-81.3065171706435
24,813.5,12,456,492,28.565888229257098,30.821089931566867,-0.3158810460137032,-0.3078097263962212,6.248883205018855,-6.168531591106641,,,,,,,,,,10,911,504,57.06913196678337,31.57282383233679,,,,,15,442,697,27.68886534502552,43.6632107363864,-28.60906233468236,-3.685645397137242,-120.47797372129546,-86.43979388940728
25,849.2,12,456,492,28.565888229257098,30.821089931566867,0.0,-0.3124399499818211,0.0,6.26132164292227,,,,,,,,,,,,,,,,,,,15,423,694,26.498620002139806,43.475277261193916,-32.90966183346555,-6.280779735115888,-32.341796662588266,-87.97847033937495
26,881.4,12,456,492,28.565888229257098,30.821089931566867,0.0,-0.3143149136668904,0.0,6.24260007282801,,,,,,,,,,10,913,500,57.19442095024502,31.322245865413485,-1.5367375123569584,-1.872825586009755,-68.32144528563518,0.13018331830092797,15,404,690,25.308374659254095,43.22469929427061,-34.02953009383946,-9.647960419735332,21.02770550847225,-80.19912327921857
27,914.6,12,456,491,28.565888229257098,30.75844543983604,0.0,0.32838219632340043,0.0,18.753930655787578,,,,,,,,,,8,904,508,56.63062052466758,31.8234017992601,-1.8325285817328871,-2.2668835443697066,49.55241160343918,-93.87536177401431,15,386,684,24.18077380809921,42.84883234388565,-33.409538915693986,-12.573632191474472,25.51305619386441,-89.38585980668036
28,949.0,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,15,904,497,56.63062052466758,31.134312390221,,,,,15,368,677,23.053172956944323,42.41032090176986,-32.28478193350192,-15.34153828458843,44.864439948432455,-93.59985730536545
29,982.1,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,15,905,497,56.693265016398406,31.134312390221,-1.8378741784249568,-0.2927523803259608,62.34057803502947,31.251608254366282,15,351,668,21.988216597520264,41.84652047619242,-30.650506776852346,-18.53346883450461,46.08298599077546,-96.27572110547406
30,1014.0,12,456,493,28.565888229257098,30.883734423297696,0.0,0.32606986856073117,0.0,-18.800456365298025,,,,,,,,,,15,905,497,56.693265016398406,31.134312390221,0.3173167258529988,-3.7990475675281092,-6.295966782797597,63.04711181106859,15,335,657,20.985904729827034,41.15743106715332,-28.834259927457154,-21.52722209013069,66.54487113484453,-90.76685445199601
31,1049.1,13,456,492,28.565888229257098,30.821089931566867,0.0,0.0,0.0,0.0,,,,,,,,,,11,912,493,57.131776458514196,30.883734423297696,0.30382640194339006,0.0050115643500260425,-93.9605671076348,50.11564350030463,15,320,645,20.04623735386463,40.40569716638339,-26.617071332491385,-24.75402040603089,68.37653110072907,-94.46172354263597
32,1081.5,13,456,492,28.565888229257098,30.821089931566867,0.0,-0.3132199377693168,0.0,-6.302212027551647,,,,,,,,,,15,907,499,56.81855399986006,31.259601373682656,-0.30816802374161534,-0.30816802374159735,-31.56178216614935,-31.561782166149708,15,306,631,19.16921446963305,39.52867428215182,-24.544823211630945,-27.343594995443986,76.76778996941356,-80.99039883294422
33,1114.8,13,456,492,28.565888229257098,30.821089931566867,0.0,-0.3073081787355995,0.0,6.2334316173549515,,,,,,,,,,15,905,496,56.693265016398406,31.071667898490176,0.3211747192117712,-0.3073081787355821,6.372514270074828,6.233431617354598,15,294,615,18.417480568863127,38.52636241445858,-21.592527466088445,-29.60802890590628,77.14029674945549,-69.56661411498
34,1149.0,13,456,492,28.565888229257098,30.821089931566867,0.0,0.3121286025604875,0.0,6.2488208720818275,,,,,,,,,,15,905,497,56.693265016398406,31.134312390221,-2.1980424452439475,0.9438956518646303,43.87310269947997,-31.31916527178406,14,283,598,17.72839115982403,37.46140605503453,-18.797182212323243,-31.61322952776078,88.17780563937393,-42.859780395899996
35,1181.3,12,456,491,28.565888229257098,30.75844543983604,0.0,0.0,0.0,12.579164688259402,,,,,,,,,,16,904,496,56.63062052466758,31.071667898490176,-0.9415504769162336,-0.9415504769162336,18.86874703238946,18.86874703238946,15,273,581,17.101946242515762,36.39644969561047,-15.37865778963186,-33.26811685104041,106.92289985020741,-37.73749406477965
