frame_no,timestamp,position_px_x-darkorange,position_px_y-darkorange,position_px_x-green,position_px_y-green,position_px_x-hotpink,position_px_y-hotpink,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
11,410.4,,,364.0,756.0,982.0,745.0,0.1525257189967961,50.5622758474379,0.3865088531656422,0.3780775799039581,-7.707055895625965,7.622531852902383
18,678.8,,,364.0,757.0,981.0,745.0,0.076262859498398,50.7148015664347,0.2947295838341062,0.2751574615699733,4.327894035743118,-4.181724339969199
21,810.4,,,364.0,758.0,981.0,745.0,0.1525257189967961,50.7148015664347,0.2904115333784293,0.2877814047337172,-4.39351790285067,4.373577579539774
22,842.8,,,364.0,758.0,982.0,745.0,0.1525257189967961,50.7910644259331,0.2922605790848333,0.2922605790848385,-4.26657779685888,-4.266577796858956
25,979.8,,,364.0,758.0,982.0,744.0,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
26,1010.5,,,364.0,758.0,981.0,745.0,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
30,1179.7,,,364.0,758.0,982.0,745.0,0.076262859498398,50.7910644259331,0.4363556729714677,0.0,6.374808955025093,0.0
34,1310.4,,,364.0,758.0,983.0,745.0,0.076262859498398,50.7910644259331,0.0,0.0,0.0,0.0
35,1343.1,,,364.0,758.0,981.0,745.0,0.076262859498398,50.7910644259331,0.2401030388203471,0.0,4.792475824757436,0.0
37,1410.8,,,364.0,758.0,982.0,745.0,0.076262859498398,50.7910644259331,0.0,0.0,0.0,0.0
39,1510.3,,,364.0,758.0,983.0,745.0,0.1525257189967961,50.7910644259331,0.2506289049770869,0.0,-4.98763990004153,0.0
40,1543.5,,,364.0,758.0,982.0,745.0,0.076262859498398,50.7910644259331,0.4386543932027064,0.0,6.611219189189244,0.0
43,1642.9,,,364.0,758.0,982.0,745.0,0.1525257189967961,50.7910644259331,0.3868685978859706,0.0,-7.653186901799622,0.0
46,1744.0,,,364.0,758.0,982.0,745.0,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
47,1778.3,,,364.0,758.0,982.0,745.0,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
49,1842.7,,,364.0,758.0,982.0,745.0,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
50,1878.5,,,364.0,758.0,982.0,745.0,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
52,1978.2,,,364.0,758.0,982.0,745.0,0.1525257189967961,50.7910644259331,0.0,0.0,0.0,0.0
