frame_no,timestamp,position_px_x-darkorange,position_px_y-darkorange,position_px_x-green,position_px_y-green,position_px_x-hotpink,position_px_y-hotpink,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
9,349.2,309,768,339.0,561.0,932.0,748.0,2.5929372229455336,28.751098030896063,0.0,0.0,0.0,0.0
10,376.2,309,767,339.0,561.0,932.0,748.0,2.5929372229455336,28.751098030896063,0.0,-1.189268275564988,0.0,23.57320665143682
11,408.2,309,768,339.0,561.0,932.0,748.0,2.5929372229455336,28.751098030896063,0.0,-0.6832226396839154,0.0,13.582955063298511
12,440.5,309,768,339.0,561.0,933.0,747.0,2.5929372229455336,28.751098030896063,0.0,0.0,0.0,0.0
13,477.1,309,767,339.0,561.0,933.0,748.0,2.5929372229455336,28.751098030896063,0.0,0.0,0.0,0.0
14,508.8,309,767,338.0,561.0,933.0,747.0,2.5929372229455336,28.751098030896063,0.8558790889735284,0.3423516355894098,17.01548884639221,6.806195538556852
15,541.3,309,767,339.0,561.0,933.0,748.0,2.5929372229455336,28.751098030896063,1.0323338306862966,0.3441112768954306,20.4828141009186,6.827604700306165
17,676.1,309,768,339.0,561.0,933.0,747.0,2.9742515204375235,28.90362374989286,1.7596760620991418,0.6696901290068601,-6.210982293784753,-2.8930037463578024
18,708.2,309,767,339.0,561.0,934.0,747.0,3.0505143799359216,28.90362374989286,2.014544623563771,0.6715148745212576,-8.712762658408435,-2.9042542194694176
26,1076.9,309,768,339.0,561.0,933.0,748.0,3.2030400989327177,28.979886609391254,0.0,0.0,0.0,0.0
29,1210.2,309,768,339.0,561.0,933.0,748.0,3.2030400989327177,28.979886609391254,0.295296249949499,0.0,4.43055138708926,0.0
31,1308.6,309,768,339.0,561.0,933.0,748.0,3.2030400989327177,28.979886609391254,0.4288742864570744,0.0,6.675086170538124,0.0
34,1408.6,309,768,339.0,561.0,933.0,747.0,3.279302958431116,28.979886609391254,0.3813142974919902,0.0,-7.626285949839805,0.0
37,1508.6,309,768,339.0,561.0,933.0,748.0,3.279302958431116,28.979886609391254,0.0,0.0,0.0,0.0
39,1576.3,309,768,339.0,561.0,933.0,748.0,3.2030400989327177,28.979886609391254,0.3807414667997139,0.0,7.6377425636853316,0.0
42,1676.3,309,768,339.0,561.0,933.0,748.0,3.279302958431116,28.979886609391254,0.4341925075662456,0.0,-6.568721748354697,0.0
44,1776.4,309,768,339.0,561.0,933.0,748.0,3.2030400989327177,28.979886609391254,0.4167266931307122,0.0,6.146411403107844,0.0
46,1848.2,309,768,339.0,561.0,933.0,747.0,3.2030400989327177,28.979886609391254,0.119698305306988,0.0,15.345936577819062,0.0
49,1940.4,309,768,339.0,561.0,933.0,748.0,3.279302958431116,28.979886609391254,0.0683115586748147,0.0,-16.460616548148202,0.0
50,1983.7,309,767,339.0,561.0,933.0,748.0,3.2030400989327177,28.979886609391254,0.075179028504133,0.0,15.66229760502714,0.0
52,2040.9,309,768,339.0,561.0,933.0,748.0,3.2030400989327177,28.979886609391254,0.0030323053860931,0.0,15.161526930462198,0.0
53,2077.7,309,768,339.0,561.0,932.0,748.0,3.279302958431116,28.979886609391254,0.4159578220658702,0.0,-8.41168497605399,0.0
55,2141.0,309,768,339.0,561.0,933.0,748.0,3.279302958431116,28.979886609391254,0.3845146278183278,0.0,-7.539502506241722,0.0
57,2208.6,309,767,339.0,561.0,933.0,748.0,3.2030400989327177,28.979886609391254,0.0,0.0,0.0,0.0
59,2308.2,309,768,339.0,561.0,934.0,747.0,3.2030400989327177,28.979886609391254,0.1748259430986428,0.0,11.463996268763632,0.0
62,2409.3,309,768,339.0,561.0,933.0,748.0,3.279302958431116,28.979886609391254,0.4700862303012767,0.0,-5.623041032311946,0.0
63,2609.4,309,768,339.0,561.0,933.0,748.0,3.2030400989327177,28.979886609391254,0.5555732638703249,0.0,4.278577311284747,0.0
64,2642.5,309,768,339.0,561.0,932.0,748.0,3.279302958431116,28.979886609391254,0.6438383384107945,0.0,2.6852320232594624,0.0
65,2677.6,309,768,339.0,561.0,932.0,748.0,3.2030400989327177,28.979886609391254,1.6137126658943055,0.5634232880701765,14.14802377993051,4.1999499669785845
66,2708.7,309,768,339.0,561.0,933.0,748.0,3.279302958431116,28.979886609391254,2.282568173416569,0.7588100914322219,30.50480455268804,15.28318411746675
67,2740.8,309,768,339.0,561.0,931.0,749.0,3.355565817929514,28.979886609391254,3.774039035200927,1.503124710757881,61.00145560217548,30.58239492894971
68,2776.5,309,768,339.0,561.0,931.0,749.0,3.431828677427912,29.056149468889654,6.099572377190934,1.9065987945575604,76.56703610473326,22.962345411937136
69,2808.8,309,768,339.0,561.0,932.0,748.0,3.660617255923106,29.132412328388053,8.049060490564196,2.6814887731128367,84.70982715855284,23.131974357670277
70,2841.2,309,768,339.0,561.0,931.0,749.0,4.041931553415096,29.28493804738485,10.735560437407214,3.827517418602145,77.67426954137655,15.72024865360551
71,2876.4,309,768,339.0,561.0,931.0,748.0,4.423245850907087,29.361200906883248,12.849659116723275,4.0351087246538215,58.56983555757585,19.650466001401387
72,2908.3,309,768,339.0,561.0,933.0,748.0,4.880823007897475,29.513726625880043,15.63366169163582,4.956622888767806,67.74446834037428,22.599364650469823
73,2940.5,309,768,339.0,561.0,933.0,748.0,5.49092588388466,29.74251520437524,17.178705098807516,5.345099208087328,52.097022732546776,14.84534630077878
74,2981.7,309,768,339.0,561.0,932.0,748.0,6.101028759871843,29.895040923372036,19.85528126687957,6.221076708674665,74.49041420797617,21.86839409396136
75,3008.5,309,768,339.0,561.0,933.0,748.0,6.787394495357426,30.123829501867228,21.32390989921288,6.854141051391143,45.83334019409811,15.275249373948135
