frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,141.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,30,326,2.0482025122426903,22.257133966370567,,,,,,,,,,,,,
1,141.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,1035,820,70.66298667237281,55.984202001300204,,,,,,,,,,,,,
2,255.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,1038,820,,,,,,,,,,,,,,,
3,278.1,7,1042,863,71.14090059189611,58.91995893551473,,,,,,,,,,,,,,,,,,,,,,,65,1036,817,70.73126008944757,55.779381750075935,,,,,,,,,,,,,
4,297.1,8,1041,860,71.07262717482135,58.71513868429046,,,,,,,,,,,,,,,,,,,,,,,62,1038,817,70.86780692359709,55.779381750075935,,,,,,,,,,,,,
5,310.2,16,386,867,26.35353899085595,59.19305260381375,,,,,,,,,,,,,,15,1028,860,70.18507275284952,58.71513868429046,,,,,,,,,,,,,,14,119,346,8.124536631896005,23.622602307865694,,,,
6,320.9,16,386,867,26.35353899085595,59.19305260381375,-476.6199214398113,3.944679184561747,26626.811253620734,-113.83242990629819,,,,,,,,,,15,1027,860,70.11679933577477,58.71513868429046,,,,,,,,,,,,,,14,119,346,8.124536631896005,23.622602307865694,,,,
7,335.8,16,386,867,26.35353899085595,59.19305260381375,-511.1647295190738,6.702952160788969,33300.63384489081,-291.7955930810191,,,,,,,,,,15,1027,860,70.11679933577477,58.71513868429046,,,,,,,,,,,,,,14,119,346,8.124536631896005,23.622602307865694,,,,
8,346.9,16,386,868,26.35353899085595,59.261326020888504,0.0,-0.24040943342190463,0.0,-114.48068258185967,,,,,,,,,,15,1028,861,70.18507275284952,58.783412101365215,0.0,-0.24040943342190463,0.0,-114.48068258185967,,,,,,,,,,14,119,346,8.124536631896005,23.622602307865694,0.0,0.0,0.0,0.0
9,356.7,16,386,868,26.35353899085595,59.261326020888504,0.0,0.7134874816383697,0.0,-66.681073050315,13,6,101,0.40964050244853806,6.895615124550391,,,,,15,1028,861,70.18507275284952,58.783412101365215,1.1729559249941928,0.7134874816383697,-41.01244492986689,-66.681073050315,,,,,,,,,,14,119,346,8.124536631896005,23.622602307865694,0.0,-0.45946844335594517,0.0,-25.668628120443852
10,366.5,16,386,868,26.35353899085595,59.261326020888504,0.0,1.6032223790429956,0.0,-40.43436012718778,14,38,130,2.594389848840741,8.875544219718325,,,,,15,1028,860,70.18507275284952,58.71513868429046,1.6032223790428288,0.2402836070382924,-40.434360127183574,15.65365518164772,,,,,,,,,,14,119,346,8.124536631896005,23.622602307865694,0.0,0.0,0.0,0.0
11,379.4,16,386,867,26.35353899085595,59.19305260381375,0.0,-1.4061791512697333,0.0,42.7410076373779,14,69,152,4.710865778158188,10.377559395362963,,,,,15,1028,860,70.18507275284952,58.71513868429046,0.0,-1.578752504927915,0.0,32.12110895072055,,,,,,,,,,14,119,346,8.124536631896005,23.622602307865694,0.0,0.0,0.0,0.0
12,413.9,16,386,867,26.35353899085595,59.19305260381375,0.0,-0.5108570368530737,0.0,23.871824152012774,13,91,169,6.212880953802827,11.538207485633823,76.46336007512667,64.54926672491015,-873.8423975848723,-580.9417969207371,15,1028,860,70.18507275284952,58.71513868429046,-0.2484249018241518,-0.7592819386772514,-8.686185378466847,15.185638773545024,,,,,,,,,,14,119,345,8.124536631896005,23.554328890790938,0.0,-0.5108570368530737,0.0,23.871824152012774
13,445.8,16,386,868,26.35353899085595,59.261326020888504,0.0,-0.2991545984807219,0.0,-7.544882685516315,13,109,184,7.441802461148441,12.562308741755167,46.14866788877869,42.15229385705318,-377.7769380972378,-109.43409917882498,15,1028,861,70.18507275284952,58.783412101365215,-0.2991545984806908,0.18228883742843216,-7.54488268551553,-17.116322763233097,,,,,,,,,,14,119,346,8.124536631896005,23.622602307865694,0.0,0.0,0.0,0.0
14,477.7,16,386,868,26.35353899085595,59.261326020888504,0.0,0.011807203359825994,0.0,-13.89082748214781,13,127,201,8.670723968494055,13.722956832026025,31.14447088919007,34.422611958320545,-185.9395485053608,7.936614996103282,15,1028,860,70.18507275284952,58.71513868429046,0.0,0.0,0.0,0.0,,,,,,,,,,14,119,346,8.124536631896005,23.622602307865694,0.0,-0.33844058993689163,0.0,-6.885871616213461
15,513.9,16,386,868,26.35353899085595,59.261326020888504,-0.3413670853737827,0.0,-6.827341707475653,-13.654683414951306,13,139,221,9.490004973391132,15.088425173521152,26.285265573781192,32.771240195883045,-129.71949244203702,-54.61873365980484,15,1027,860,70.11679933577477,58.71513868429046,0.0,0.0,13.654683414949885,0.0,,,,,,,,,,14,119,346,8.124536631896005,23.622602307865694,0.0,0.0,0.0,-13.654683414951306
16,546.4,16,386,867,26.35353899085595,59.19305260381375,-0.3460091454448524,-0.3371243432612594,-6.878909452183946,6.790016984113981,13,149,238,10.172739144138696,16.24907326379201,22.481211512016475,31.007052917567457,-92.7490336077765,-112.14126741134866,15,1027,860,70.11679933577477,58.71513868429046,0.008884802183592048,-0.3371243432612594,13.668926436296505,6.790016984113981,,,,,,,,,,14,119,346,8.124536631896005,23.622602307865694,0.0,0.0,0.0,0.0
17,577.7,16,386,867,26.35353899085595,59.19305260381375,-0.33136001298173445,-0.34474695750619605,-6.627200259634685,6.759744264827374,13,159,252,10.85547331488626,17.204901102838598,17.327742886851183,26.860175196304493,-90.39501154141678,-159.1853502364242,15,1028,860,70.18507275284952,58.71513868429046,0.0,0.33136001298173445,0.0,6.627200259634685,,,,,,,,,,14,119,345,8.124536631896005,23.554328890790938,0.0,-0.01338694452446161,0.0,13.38694452446206
