frame_no,timestamp,position_px_x-darkorange,position_px_y-darkorange,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,position_px_x-hotpink,position_px_y-hotpink,position_px_x-yellowneon,position_px_y-yellowneon
63,2114.3,383.0,868.0,12.69885557590468,21.50612637854825,8.534299794512325,7.886880081956217,47.25834434643057,-35.02070321217981,1023.0,859.0,114.0,344.0
64,2149.2,383.0,868.0,12.971949244203705,21.64267321269776,10.542770946470323,8.436294237959341,75.53093995479,-5.028347940303037,1023.0,859.0,113.0,344.0
65,2178.6,383.0,868.0,13.313316329577487,21.84749346392203,13.005875595441292,8.552172122034397,96.26131092941048,34.49660829117484,1023.0,859.0,113.0,344.0
66,2214.5,383.0,868.0,13.79123024910078,22.12058713222105,16.07810832118033,9.23701443932026,103.316676145945,61.96949278032438,1023.0,859.0,113.0,345.0
67,2249.3,382.0,869.0,14.405691002773588,22.46195421759484,19.528981881908877,11.15941821823363,104.01373407994558,59.43641947425471,1023.0,859.0,113.0,344.0
68,2278.3,382.0,869.0,15.088425173521152,22.871594720043376,22.376268448568077,12.883593431887212,91.71046145026372,52.39248518631378,1024.0,859.0,113.0,345.0
69,2314.2,383.0,869.0,15.907706178418229,23.349508639566668,25.811141750638505,14.607422908562713,91.92973166665664,45.76187069495073,1023.0,859.0,113.0,345.0
70,2346.5,382.0,868.0,16.795260600390062,23.827422559089964,29.30152719946708,16.368796440826955,97.06744529368052,47.75243284248057,1023.0,859.0,113.0,344.0
71,2379.4,383.0,868.0,17.819361856511406,24.441883312762773,32.83152043728287,18.461263103667896,115.11944930571651,57.94717202003016,1023.0,859.0,113.0,344.0
72,2415.1,382.0,868.0,18.980009946782264,25.056344066435575,35.753311013129206,19.748480385785992,105.14002576626092,56.1421427287019,1023.0,859.0,113.0,344.0
73,2448.2,383.0,869.0,20.277204871202635,25.739078237183143,39.43083991753864,22.30617794354461,102.13241150222072,69.01023191106256,1023.0,859.0,113.0,345.0
74,2478.6,382.0,869.0,21.64267321269776,26.55835924208022,42.80784821394357,23.970412868344937,86.0161913527658,53.12439581620074,1024.0,859.0,113.0,345.0
75,2515.0,382.0,869.0,23.07641497126765,27.309366829902537,45.146006743465605,25.258954564910297,82.90193079703052,54.17766065717012,1023.0,859.0,113.0,345.0
76,2546.5,383.0,869.0,24.64670356398704,28.26519466894913,48.814224786067314,28.188994899138574,88.78081064485269,50.68085569003509,1024.0,859.0,114.0,345.0
77,2578.6,383.0,869.0,26.35353899085595,29.22102250799572,51.91856375971979,29.03312410702709,96.1981195627585,48.12982895744218,1023.0,859.0,113.0,345.0
78,2617.3,383.0,868.0,28.12864783479961,30.176850347042304,55.46822424913327,31.34526321395657,118.90095298923808,64.81175574647146,1024.0,859.0,113.0,345.0
79,2646.5,382.0,869.0,29.972030095818035,31.33749843731316,58.10018885562604,32.808214593943724,96.9384707463216,41.70353820606789,1024.0,859.0,113.0,345.0
80,2678.5,382.0,869.0,32.020232608060724,32.361599693434506,60.720970772420245,34.111617456585854,80.02624505586878,53.5417095722628,1023.0,859.0,113.0,345.0
81,2714.3,383.0,868.0,34.06843512030341,33.52224778370537,64.39932786010102,36.35215242899895,65.24551321628272,38.42307342966001,1023.0,859.0,113.0,345.0
82,2746.3,383.0,868.0,36.25318446669562,34.819442708125734,66.30935930403477,36.873928980263365,67.57396308952428,39.77370400474628,1023.0,859.0,113.0,344.0
83,2778.7,383.0,869.0,38.50620723016258,36.04836421547135,67.19179652621357,37.89597654482839,49.131953622641085,21.99439997349662,1023.0,859.0,113.0,345.0
84,2814.2,382.0,868.0,40.827503410704296,37.34555913989172,72.61868938018806,40.572885839631525,99.30626896764272,46.0760939503717,1023.0,859.0,113.0,345.0
85,2848.1,382.0,869.0,43.35361984247028,38.77930089846161,75.3824967544751,42.303248905645226,110.68021078946116,66.8926992444066,1023.0,859.0,113.0,345.0
86,2885.3,383.0,869.0,45.94800969131102,40.21304265703149,80.35968252206912,45.64816596538857,197.9203164684568,123.45005444601846,1023.0,860.0,113.0,345.0
87,2914.5,383.0,868.0,48.61067295722652,41.64678441560137,82.20565219278797,46.05115030397437,91.85949000742993,63.16148260681344,1023.0,859.0,114.0,344.0
