frame_no,timestamp,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink
151,5049.8,11.0,556.0,97.0
152,5077.0,11.0,556.0,97.0
153,5112.7,11.0,557.0,97.0
154,5144.6,11.0,557.0,97.0
155,5176.6,11.0,558.0,97.0
156,5212.6,11.0,558.0,97.0
157,5244.5,11.0,559.0,96.0
158,5276.7,11.0,559.0,97.0
159,5312.5,11.0,560.0,96.0
160,5344.4,11.0,560.0,97.0
161,5377.2,11.0,560.0,96.0
162,5412.5,11.0,561.0,96.0
163,5444.8,11.0,561.0,96.0
164,5476.7,11.0,561.0,96.0
165,5512.6,11.0,562.0,96.0
166,5544.5,11.0,563.0,96.0
167,5577.6,11.0,562.0,96.0
168,5612.7,11.0,562.0,96.0
169,5644.4,11.0,562.0,96.0
170,5676.5,11.0,562.0,96.0
171,5712.8,11.0,562.0,96.0
172,5744.9,11.0,562.0,96.0
173,5782.6,11.0,562.0,96.0
174,5812.4,11.0,563.0,96.0
175,5844.9,11.0,563.0,96.0
176,5876.8,11.0,563.0,97.0
177,5912.4,11.0,564.0,97.0
178,5944.4,11.0,565.0,97.0
179,5976.6,11.0,566.0,97.0
180,6012.5,11.0,567.0,98.0
181,6044.3,11.0,568.0,99.0
182,6076.7,11.0,569.0,100.0
183,6113.6,11.0,569.0,101.0
184,6144.6,11.0,569.0,102.0
185,6176.5,11.0,569.0,102.0
186,6212.9,11.0,568.0,102.0
187,6246.7,11.0,568.0,103.0
188,6276.9,11.0,569.0,103.0
189,6315.2,11.0,569.0,103.0
190,6350.6,11.0,570.0,103.0
191,6381.3,11.0,570.0,103.0
192,6412.5,11.0,569.0,103.0
193,6444.7,11.0,569.0,103.0
194,6478.6,11.0,568.0,103.0
195,6512.8,11.0,567.0,103.0
196,6544.4,11.0,567.0,103.0
197,6576.7,11.0,567.0,102.0
198,6613.7,11.0,567.0,102.0
199,6645.0,11.0,567.0,101.0
200,6676.8,11.0,568.0,101.0
201,6712.8,11.0,568.0,100.0
202,6745.9,11.0,567.0,100.0
203,6776.6,11.0,567.0,100.0
204,6812.4,11.0,566.0,100.0
205,6844.7,11.0,565.0,100.0
206,6878.8,11.0,565.0,100.0
207,6912.5,11.0,565.0,100.0
208,6944.9,11.0,565.0,100.0
209,6976.5,11.0,565.0,100.0
210,7012.6,11.0,565.0,100.0
211,7048.0,11.0,565.0,100.0
212,7076.7,11.0,565.0,100.0
213,7112.5,11.0,565.0,100.0
214,7146.7,11.0,565.0,100.0
215,7176.7,11.0,565.0,100.0
216,7212.7,11.0,565.0,100.0
217,7244.3,11.0,565.0,100.0
218,7276.8,11.0,566.0,99.0
219,7312.6,11.0,566.0,99.0
220,7344.4,11.0,566.0,99.0
221,7377.3,11.0,566.0,99.0
222,7412.4,11.0,566.0,99.0
223,7449.3,11.0,566.0,99.0
224,7476.7,11.0,566.0,99.0
225,7512.6,11.0,566.0,99.0
226,7546.6,11.0,565.0,99.0
227,7576.8,11.0,565.0,99.0
228,7614.1,11.0,566.0,99.0
229,7650.1,11.0,565.0,98.0
230,7678.6,11.0,566.0,98.0
231,7714.7,11.0,566.0,97.0
232,7744.8,11.0,565.0,96.0
233,7776.8,11.0,564.0,96.0
234,7812.8,11.0,564.0,96.0
235,7844.5,11.0,563.0,96.0
236,7876.5,11.0,562.0,96.0
237,7912.4,11.0,562.0,96.0
238,7944.8,11.0,562.0,97.0
239,7976.8,11.0,562.0,97.0
240,8012.8,11.0,562.0,97.0
241,8044.5,11.0,563.0,97.0
242,8076.7,11.0,563.0,97.0
243,8112.7,11.0,563.0,97.0
244,8144.4,11.0,563.0,97.0
245,8176.5,11.0,563.0,97.0
246,8212.5,11.0,563.0,97.0
247,8244.9,11.0,563.0,97.0
248,8282.6,11.0,563.0,97.0
249,8312.3,11.0,563.0,97.0
250,8344.5,11.0,562.0,97.0
251,8376.7,11.0,562.0,97.0
252,8412.5,11.0,562.0,97.0
253,8445.0,11.0,562.0,97.0
254,8476.8,11.0,562.0,97.0
255,8512.4,11.0,562.0,97.0
256,8544.5,11.0,562.0,97.0
257,8576.9,11.0,563.0,97.0
258,8612.8,11.0,563.0,97.0
259,8644.8,11.0,564.0,97.0
260,8678.6,11.0,564.0,97.0
261,8713.2,11.0,565.0,97.0
262,8744.5,11.0,565.0,97.0
263,8777.1,11.0,565.0,97.0
264,8812.6,11.0,566.0,97.0
265,8844.9,11.0,566.0,97.0
266,8877.1,11.0,566.0,97.0
267,8912.7,11.0,565.0,97.0
268,8944.6,11.0,564.0,97.0
269,8977.0,11.0,563.0,97.0
270,9012.7,11.0,564.0,97.0
271,9046.7,11.0,564.0,96.0
272,9076.7,11.0,564.0,96.0
273,9113.0,11.0,565.0,96.0
274,9144.7,11.0,565.0,96.0
275,9176.7,11.0,565.0,96.0
276,9212.6,11.0,565.0,96.0
277,9244.6,11.0,565.0,97.0
278,9278.3,11.0,565.0,97.0
279,9320.4,11.0,565.0,97.0
280,9344.5,11.0,565.0,97.0
281,9376.4,11.0,565.0,97.0
282,9412.4,11.0,566.0,99.0
283,9444.5,11.0,565.0,100.0
284,9481.3,11.0,565.0,103.0
285,9514.6,11.0,564.0,107.0
286,9544.6,11.0,564.0,111.0
287,9576.7,11.0,563.0,117.0
288,9612.7,11.0,563.0,123.0
289,9644.4,11.0,562.0,130.0
290,9677.0,11.0,561.0,138.0
291,9713.1,11.0,559.0,147.0
292,9744.8,11.0,559.0,157.0
293,9776.7,11.0,557.0,168.0
294,9812.7,11.0,556.0,179.0
295,9844.8,11.0,554.0,192.0
296,9876.8,11.0,553.0,204.0
297,9912.7,11.0,551.0,219.0
298,9944.6,11.0,550.0,233.0
299,9976.4,11.0,548.0,249.0
300,10012.5,11.0,546.0,265.0
301,10044.6,11.0,544.0,282.0
302,10076.9,11.0,542.0,300.0
303,10112.9,11.0,540.0,319.0
304,10147.0,10.0,537.0,338.0
305,10181.1,11.0,535.0,358.0
306,10212.5,10.0,533.0,378.0
307,10244.6,10.0,531.0,400.0
308,10278.6,10.0,528.0,422.0
309,10312.7,10.0,525.0,444.0
310,10347.0,10.0,523.0,468.0
311,10376.8,10.0,520.0,491.0
312,10412.5,10.0,517.0,516.0
313,10444.9,10.0,515.0,541.0
314,10476.8,10.0,512.0,567.0
315,10514.1,9.0,509.0,593.0
316,10544.6,9.0,506.0,621.0
317,10581.9,10.0,503.0,649.0
318,10614.6,10.0,500.0,677.0
319,10644.4,10.0,496.0,706.0
320,10677.8,10.0,494.0,736.0
321,10712.7,10.0,490.0,766.0
322,10744.7,10.0,487.0,796.0
323,10776.7,10.0,483.0,828.0
324,10812.3,10.0,481.0,860.0
325,10844.5,10.0,477.0,892.0
326,10876.8,10.0,473.0,925.0
327,10912.5,11.0,470.0,958.0
328,10944.5,10.0,466.0,992.0
329,10976.9,10.0,463.0,993.0
330,11012.6,10.0,462.0,975.0
331,11047.3,10.0,461.0,956.0
332,11077.9,10.0,459.0,937.0
333,11112.8,10.0,457.0,920.0
334,11144.7,10.0,456.0,902.0
335,11176.8,10.0,454.0,885.0
336,11212.6,10.0,452.0,868.0
337,11244.9,10.0,450.0,852.0
338,11276.8,10.0,448.0,836.0
339,11312.9,10.0,446.0,821.0
340,11344.4,10.0,445.0,806.0
341,11378.7,10.0,443.0,792.0
342,11416.2,10.0,440.0,777.0
343,11444.6,10.0,438.0,764.0
344,11478.6,10.0,436.0,751.0
345,11514.6,10.0,434.0,739.0
346,11546.6,10.0,432.0,727.0
347,11577.0,10.0,429.0,715.0
348,11612.7,10.0,427.0,704.0
349,11644.9,10.0,425.0,694.0
350,11676.9,10.0,421.0,684.0
351,11712.5,10.0,419.0,675.0
352,11744.6,10.0,417.0,666.0
353,11776.8,10.0,414.0,658.0
354,11812.7,9.0,412.0,650.0
355,11844.5,9.0,409.0,644.0
356,11876.6,9.0,407.0,637.0
357,11912.5,9.0,403.0,631.0
358,11944.7,9.0,401.0,625.0
359,11976.8,9.0,397.0,621.0
360,12013.0,9.0,395.0,616.0
361,12044.5,8.0,392.0,613.0
362,12078.8,9.0,389.0,609.0
363,12109.0,9.0,385.0,607.0
364,12144.7,9.0,382.0,605.0
365,12177.1,9.0,379.0,603.0
366,12208.7,9.0,376.0,602.0
367,12244.9,8.0,373.0,603.0
368,12276.7,8.0,369.0,603.0
369,12312.4,8.0,365.0,605.0
370,12344.6,8.0,362.0,606.0
371,12377.1,9.0,359.0,608.0
372,12412.7,9.0,355.0,611.0
373,12444.8,9.0,352.0,614.0
374,12477.1,9.0,348.0,618.0
375,12512.6,9.0,344.0,623.0
376,12544.6,9.0,341.0,629.0
377,12576.9,9.0,337.0,635.0
378,12608.7,9.0,334.0,642.0
379,12649.0,9.0,330.0,648.0
380,12677.4,9.0,326.0,656.0
381,12713.3,10.0,322.0,665.0
382,12744.5,10.0,318.0,673.0
383,12776.6,10.0,315.0,683.0
384,12812.7,10.0,311.0,693.0
385,12844.7,10.0,307.0,704.0
386,12876.7,10.0,304.0,716.0
387,12908.7,10.0,301.0,728.0
388,12944.7,10.0,297.0,741.0
389,12976.9,10.0,294.0,754.0
390,13009.1,10.0,290.0,768.0
391,13050.5,10.0,287.0,782.0
392,13076.5,10.0,283.0,797.0
393,13108.7,10.0,280.0,813.0
394,13144.9,10.0,277.0,829.0
395,13176.6,10.0,274.0,846.0
396,13208.9,10.0,270.0,863.0
397,13244.7,10.0,268.0,881.0
398,13276.7,10.0,264.0,900.0
399,13312.9,10.0,261.0,919.0
400,13344.6,10.0,258.0,938.0
401,13376.8,10.0,255.0,958.0
402,13412.7,10.0,252.0,978.0
403,13444.7,10.0,249.0,998.0
404,13476.6,10.0,246.0,993.0
405,13513.0,10.0,244.0,980.0
406,13544.5,10.0,241.0,969.0
407,13576.5,10.0,238.0,958.0
408,13612.6,10.0,235.0,948.0
409,13644.7,10.0,232.0,938.0
410,13676.7,10.0,229.0,928.0
411,13712.6,10.0,226.0,919.0
412,13744.7,10.0,223.0,911.0
413,13777.2,10.0,220.0,902.0
414,13814.9,10.0,217.0,895.0
415,13845.9,10.0,215.0,888.0
416,13884.6,10.0,211.0,881.0
417,13918.6,10.0,208.0,875.0
418,13944.7,10.0,205.0,869.0
419,13976.9,10.0,203.0,864.0
420,14012.8,10.0,199.0,860.0
421,14044.7,10.0,197.0,855.0
422,14076.9,10.0,193.0,852.0
423,14112.6,10.0,191.0,849.0
424,14144.8,10.0,188.0,847.0
425,14176.8,10.0,185.0,845.0
426,14212.6,10.0,182.0,843.0
427,14246.7,10.0,179.0,842.0
428,14276.7,10.0,176.0,842.0
429,14312.8,10.0,173.0,842.0
430,14345.0,10.0,170.0,843.0
431,14378.1,10.0,167.0,844.0
432,14412.5,10.0,164.0,846.0
433,14444.8,10.0,162.0,848.0
434,14478.7,10.0,159.0,852.0
435,14512.6,10.0,156.0,855.0
436,14544.7,10.0,153.0,859.0
437,14576.7,10.0,150.0,864.0
438,14612.5,10.0,147.0,869.0
439,14644.4,10.0,144.0,875.0
440,14676.7,10.0,142.0,881.0
441,14712.7,10.0,139.0,887.0
442,14744.8,10.0,136.0,895.0
443,14776.8,10.0,134.0,903.0
444,14812.7,10.0,131.0,911.0
445,14846.6,10.0,129.0,920.0
