frame_no,timestamp,rx-darkorange,ry-darkorange,rx-yellowneon,ry-yellowneon,rx-green,ry-green,r-shape,theta-shape,r-mass,theta-mass,omega-shape,omega-mass
6,317.9,0.0006264449173082887,0.0,0.030695800948105256,0.1252889834616539,,,0.128994424579903,1.3305290540139578,,,1.2061942611405738,
7,329.0,0.0006264449173082887,0.0006264449173082887,0.029442911113488734,0.1252889834616539,,,0.12870203724763407,1.3399843663922286,,,0.8518299439883583,
8,340.1,0.0006264449173082887,0.0,0.02881646619618039,0.1252889834616539,,,0.1285601730742853,1.3447279388010127,,,0.4273488656562236,
9,350.7,0.0006264449173082887,0.0,0.02756357636156387,0.1252889834616539,,,0.12828515159087722,1.3542460218188073,,,0.8979323601693004,
10,360.2,0.0006264449173082887,0.0,0.026310686526947347,0.1252889834616539,,,0.1280218012776491,1.3638041325750754,,,1.0061169217124328,
11,381.6,0.0006264449173082887,0.0,0.02505779669233077,0.1259154283789622,,,0.12838453286487334,1.3743577044519604,,,0.49315756434041946,
12,416.9,0.0006264449173082887,0.0,0.023804906857714248,0.1259154283789622,,,0.12814588832405824,1.3839468764260805,,,0.27164793127819087,
13,449.4,0.0006264449173082887,0.0,0.023178461940406014,0.12654187329627054,,,0.12864714064157134,1.3896362075369366,,,0.17505634187249605,
14,482.1,0.0006264449173082887,0.0006264449173082887,0.021925572105789437,0.12654187329627054,,,0.12842731956050302,1.399232340438921,,,0.2934597217732249,
15,513.4,0.0006264449173082887,0.0006264449173082887,0.021299127188481093,0.12716831821357877,,,0.12893965245905203,1.404848927505392,,,0.17944367624507485,
16,549.3,0.0006264449173082887,0.0006264449173082887,0.020046237353864627,0.12716831821357877,,,0.12873862198003172,1.4144474222334906,,,0.26736754117266603,
17,581.5,0.0006264449173082887,0.0006264449173082887,0.018166902601939816,0.12716831821357877,,,0.12845940022987185,1.4288992721907328,,,0.44881521606341973,
18,613.4,0.0006264449173082887,0.0,0.017540457684631527,0.12716831821357877,,,0.12837230547534922,1.4337301524847093,,,0.1514382537296707,
19,648.9,0.0006264449173082887,0.0,0.01628756785001506,0.12654187329627054,,,0.12758577727865372,1.4427872681216996,,,0.2551300179433887,
20,681.2,0.0006264449173082887,0.0,0.015034678015398484,0.12716831821357877,,,0.1280539835393524,1.4531159904068867,,,0.3197746837519222,
21,713.7,0.0006264449173082887,0.0,0.013781788180781962,0.127794763130887,,,0.12853575054878488,1.4633683731902405,,,0.31545793179550247,
22,749.1,0.0,0.0006264449173082887,0.01064956359424063,0.1284212080481953,,,0.12886201876932407,1.4880588090548892,,,0.6974699396793422,
23,781.4,0.0,0.0006264449173082887,0.0025057796692330436,0.12967409788281176,,,0.12969830605475072,1.5514750599391416,,,1.9633514205650926,
24,813.5,0.0,0.0,-0.008770228842315764,0.1284212080481953,,,0.1287203309135913,1.6389831359683606,,,2.7261082875146108,
25,849.2,0.0,0.0,-0.02067268227117286,0.12654187329627054,,,0.1282193647216139,1.7327321638586264,,,2.6260231902035187,
26,881.4,0.0,0.0,-0.03257513570003007,0.12403609362703738,,,0.12824231746241394,1.8276227767647046,,,2.9469134442881506,
27,914.6,0.0,-0.0006264449173082887,-0.043851144211578874,0.12027742412318776,,,0.1280218012776491,1.9204034505852983,,,2.794598609054021,
28,949.0,0.0,0.0,-0.05512715272312774,0.1158923097020299,,,0.12833561631686766,2.0147958095433087,,,2.74396392319798,
29,982.1,0.0,0.0,-0.06577671631736834,0.11025430544625547,,,0.12838453286487336,2.108705372088399,,,2.837146904685499,
30,1014.0,0.0,0.0006264449173082887,-0.0757998349943006,0.10336341135586447,,,0.12817803943064837,2.20354516179708,,,2.9730341601467423,
31,1049.1,0.0,0.0,-0.08519650875392468,0.09584607234816522,,,0.1282377272429112,2.2974386674766225,,,2.6750286518388298,
32,1081.5,0.0,0.0,-0.09396673759624047,0.08707584350584952,,,0.12810913432201432,2.3942384091383087,,,2.9876463475828974,
33,1114.8,0.0,0.0,-0.10148407660393971,0.07705272482891712,,,0.12742111366533854,2.4921919082297292,,,2.9415465192618835,
34,1149.0,0.0,0.0,-0.10837497069433066,0.0664031612346766,,,0.12710040949955861,2.591875027371643,,,2.914711086020869,
35,1181.3,0.0,-0.0006264449173082887,-0.11463941986741336,0.055753597640436026,,,0.12747807747761464,2.6889336132717205,,,3.0049097801881604,
36,1213.4,0.0,0.0,-0.11902453428857124,0.04447758912888711,,,0.12706335308549577,2.7839760508968814,,,2.96082360202992,
37,1249.2,0.0,0.0006264449173082887,-0.12278320379242086,0.03257513570003001,,,0.1270309198557836,2.8822609091891085,,,2.745387103134839,
38,1281.1,0.0,0.0,-0.12466253854434564,0.020672682271172915,,,0.12636498054684822,2.9772589719197415,,,2.977995696885061,
39,1313.4,0.0,0.0006264449173082887,-0.12591542837896222,0.00877022884231582,,,0.1262204896908745,3.0720532209084994,,,2.9348064702401655,
41,1383.0,0.0,0.0,-0.12403609362703738,-0.015661122932706717,,,0.12502089142926687,-3.015994651603657,,,2.8624849439897635,
42,1416.4,0.0,0.0,-0.12153031395780431,-0.028190021278872213,,,0.12475694173225693,-2.9136647130537274,,,3.0637706152673405,
43,1453.6,0.0,-0.0006264449173082887,-0.11839808937126295,-0.04009247470772931,,,0.12500205636290743,-2.8150877768533964,,,2.649917639793858,
44,1481.1,0.0,-0.0006264449173082887,-0.1133865300327968,-0.05074203830196983,,,0.12422262130512665,-2.7208081657535352,,,3.428349494540406,
45,1513.4,0.0,0.0,-0.1077485257770224,-0.061391601896210485,,,0.12401078013827853,-2.6236996715194016,,,3.0064549298493204,
