frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
65,2238.4,7,933,961,,,,,,,42,929,957,,,,,,,,,,,,,,,
66,2270.4,7,933,961,,,,,,,41,924,955,,,,,,,,,,,,,,,
67,2302.6,6,933,961,,,,,,,40,920,948,,,,,,,,,,,,,,,
68,2338.4,7,933,961,,,,,,,43,929,959,,,,,,,,,,,,,,,
69,2370.6,7,932,960,,,,,,,42,927,957,,,,,,,,,,,,,,,
70,2402.7,6,933,960,,,,,,,41,923,952,,,,,,,,,,,,,,,
71,2438.3,7,933,960,,,,,,,42,927,957,,,,,,,,,,,,,,,
72,2470.6,,,,,,,,,,40,921,949,,,,,,,,,,,,,,,
73,2502.6,6,933,960,,,,,,,40,920,949,,,,,,,,,,,,,,,
74,2538.6,7,933,961,,,,,,,42,929,960,,,,,,,,,,,,,,,
75,2570.5,5,933,962,,,,,,,40,920,949,,,,,,,,,,,,,,,
76,2602.6,7,932,961,,,,,,,42,929,960,,,,,,,,,,,,,,,
77,2670.3,7,934,960,,,,,,,42,926,953,,,,,,,,,,,,,,,
78,2702.8,7,934,960,,,,,,,42,927,955,,,,,,,,,,,,,,,
79,2738.5,7,934,960,,,,,,,43,930,960,,,,,,,,,,,,,,,
80,2770.7,7,934,961,,,,,,,43,930,960,,,,,,,,,,,,,,,
81,2804.0,8,934,961,,,,,,,42,928,956,,,,,,,,,,,,,,,
82,2838.3,7,934,961,,,,,,,42,925,953,,,,,,,,,,,,,,,
83,2876.5,5,937,960,,,,,,,43,930,960,,,,,,,7,932,954,,,,,,
84,2904.1,7,934,961,,,,,,,43,930,960,,,,,,,,,,,,,,,
85,2939.5,7,932,960,,,,,,,42,925,952,,,,,,,,,,,,,,,
86,2970.9,7,932,960,,,,,,,43,929,959,,,,,,,,,,,,,,,
87,3002.7,7,932,960,,,,,,,42,926,955,,,,,,,,,,,,,,,
88,3039.1,6,933,960,,,,,,,43,929,960,,,,,,,,,,,,,,,
89,3078.0,7,932,961,,,,,,,43,929,960,,,,,,,,,,,,,,,
90,3102.5,6,933,961,,,,,,,43,929,960,,,,,,,,,,,,,,,
91,3138.4,7,933,961,,,,,,,43,929,960,,,,,,,8,928,958,,,,,,
92,3170.5,6,934,961,,,,,,,43,929,960,,,,,,,,,,,,,,,
93,3203.2,7,933,960,,,,,,,43,929,960,,,,,,,,,,,,,,,
94,3239.3,7,933,960,,,,,,,42,927,957,,,,,,,,,,,,,,,
95,3270.4,7,934,961,,,,,,,42,928,957,,,,,,,,,,,,,,,
96,3303.6,7,933,959,,,,,,,42,928,956,,,,,,,,,,,,,,,
97,3338.4,6,933,956,,,,,,,43,929,956,,,,,,,,,,,,,,,
98,3370.5,7,932,951,,,,,,,43,928,951,,,,,,,,,,,,,,,
99,3402.7,7,930,944,,,,,,,43,926,943,,,,,,,,,,,,,,,
100,3438.9,7,926,932,,,,,,,43,923,932,,,,,,,,,,,,,,,
101,3471.5,7,923,914,,,,,,,43,919,915,,,,,,,,,,,,,,,
102,3502.9,6,914,889,,,,,,,42,911,889,,,,,,,,,,,,,,,
103,3538.4,7,904,855,,,,,,,42,899,854,,,,,,,,,,,,,,,
104,3570.7,6,891,815,,,,,,,42,886,815,,,,,,,,,,,,,,,
105,3602.6,5,876,773,,,,,,,42,872,771,,,,,,,8,875,764,,,,,,
