frame_no,timestamp,position_px_x-green,position_px_y-green,time_s,xposavg,yposavg,xvelocity,yvelocity,xvelavg,yvelavg,xaccel,yaccel,xaccelavg,yaccelavg
215,7403.4,267.0,961.0,7.4033999999999995,,,,,,,,,,
216,7438.7,270.0,949.0,7.4387,,,,,,,,,,
217,7470.7,274.0,940.0,7.4707,270.3333333333333,950.0,,,,,,,,
218,7502.8,277.0,930.0,7.502800000000001,273.6666666666667,939.6666666666666,0.08972740094186753,-0.2781549429197872,,,,,,
219,7538.9,280.0,921.0,7.5389,277.0,930.3333333333334,0.07978530665468174,-0.22339885863310835,,,,,,
220,7573.9,283.0,912.0,7.5739,280.0,921.0,0.0740635603774448,-0.23041996561871808,0.08119208932466469,-0.243991255723871,,,,
221,7602.8,287.0,903.0,7.6028,283.3333333333333,912.0,0.09966261488698772,-0.26908906019486833,0.0845038273063714,-0.24096929481556492,0.11459300974763648,0.104566121394681,,
222,7638.5,290.0,896.0,7.6385,286.6666666666667,903.6666666666666,0.08067925967042178,-0.20169814917605305,0.08480181164495143,-0.2337357249965465,0.008346900240337012,0.20262100333385305,,
223,7670.7,294.0,889.0,7.6707,290.3333333333333,896.0,0.09839361885892224,-0.2057321121595658,0.09291183113877725,-0.22550644051016241,0.25186395943558104,0.25556784119204845,0.12493462314118485,0.187584988640194
224,7702.8,298.0,884.0,7.7028,294.0,889.6666666666666,0.0987001410360564,-0.1704820617895521,0.09259100652180013,-0.19263744104172367,-0.009994536354427463,1.0239563697333007,0.08340544110716352,0.4940484047530674
225,7738.5,301.0,879.0,7.7385,297.6666666666667,884.0,0.08874718563746119,-0.13715474143971113,0.09528031517747994,-0.17112297179627636,0.07533077466890145,0.6026461973514604,0.10573339925001835,0.6273901360922699
226,7771.7,305.0,874.0,7.7717,301.3333333333333,879.0,0.09542995564028164,-0.1301317576912945,0.09429242743793309,-0.14592285364018595,-0.02975565480562802,0.7590397034967016,0.01186019450294866,0.7952140901938209
227,7802.8,309.0,870.0,7.8028,305.0,874.3333333333334,0.1018737790114905,-0.12965753692371346,0.09535030676307778,-0.13231467868490637,0.03401541238407314,0.43756189566814874,0.026530177415782192,0.599749265505437
228,7838.5,312.0,867.0,7.8385,308.6666666666667,870.3333333333334,0.08874718563746341,-0.09681511160450502,0.09535030676307853,-0.11886813540650433,2.0991611810139867e-14,0.3766538733446014,0.0014199191928220424,0.524418490836484
229,7870.5,317.0,864.0,7.8705,312.6666666666667,867.0,0.108009358883774,-0.0900077990698127,0.09954344117757596,-0.10549348253267708,0.1310354504530448,0.4179579023071011,0.055016954279046314,0.4107245571066171
230,7903.1,321.0,862.0,7.9031,316.6666666666667,864.3333333333334,0.10602145657302847,-0.07068097104868463,0.1009260003647553,-0.08583462724100081,0.04240979101777042,0.6030323709103075,0.057815080490278746,0.46588138218733666
231,7938.4,324.0,862.0,7.9384,320.6666666666667,862.6666666666666,0.09791216669350782,-0.04079673612229678,0.10398099405010341,-0.06716183541359806,0.08654373046312085,0.5289742727309645,0.08666299064464535,0.5166548486494577
232,7975.5,328.0,861.0,7.9755,324.3333333333333,861.6666666666666,0.08539823523604559,-0.02329042779164904,0.09644395283419395,-0.04492271165421017,-0.20315474975496894,0.5994372980966993,-0.024733742758025895,0.5771479805793237
233,8003.0,332.0,862.0,8.003,328.0,861.6666666666666,0.11520998280936023,0.0,0.09950679491297121,-0.02136238797131529,0.1113760755919009,0.8567390430143638,-0.001744981233315739,0.6617168712806759
234,8039.6,336.0,863.0,8.0396,332.0,862.0,0.09443441213881898,0.007869534344902476,0.09834754339474161,-0.005140297815582207,-0.0316735387494426,0.44322650698724303,-0.04115073763750355,0.6331342826994354
235,8070.6,341.0,865.0,8.0706,336.3333333333333,863.3333333333334,0.12078465939690587,0.037164510583664566,0.11014301811502836,0.015011348309522327,0.3804991845253718,0.6500531008098114,0.1534005737892767,0.6500062169371393
236,8103.0,345.0,868.0,8.103,340.6666666666667,865.3333333333334,0.11556556917605884,0.05333795500433438,0.1102615469039279,0.032790666644300456,0.003658295953689903,0.548744393048723,0.11749464724320637,0.5473413336152592
237,8138.9,349.0,871.0,8.1389,345.0,868.0,0.10429873095554794,0.06418383443418271,0.11354965317617088,0.05156210000739386,0.09159070396220037,0.5228811521753064,0.15858272814708735,0.5738928820112803
238,8170.5,354.0,875.0,8.1705,349.3333333333333,871.3333333333334,0.11849127978810249,0.09114713829854182,0.11278519330656976,0.06955630924568629,-0.024191768025351237,0.5694370012117683,0.02368574396351301,0.5470208488119326
239,8203.6,359.0,880.0,8.2036,354.0,875.3333333333334,0.12182324466246754,0.10441992399640032,0.11487108513537266,0.0865836322430416,0.06301788002425805,0.5144206343611993,0.04347227198703573,0.5355795959160914
240,8238.4,363.0,886.0,8.2384,358.6666666666667,880.3333333333334,0.1158721091473423,0.12414868837215197,0.11872887786597079,0.10657191688903135,0.11085611294822037,0.5743759955744082,0.049894074982375726,0.552744543715792
241,8282.0,367.0,891.0,8.282,363.0,885.6666666666666,0.08587900094734366,0.10569723193519115,0.1078581182523845,0.1114219481012478,-0.24932934893546735,0.1112392479866166,-0.025151785320996312,0.40001195930740807
242,8305.5,371.0,898.0,8.3055,367.0,891.6666666666666,0.14707657379917988,0.22061486069876982,0.11627589463128862,0.1501535936687043,0.35820325016612814,1.6481551305300426,0.07324333805962706,0.7779234580303558
